,date,text
0,2020-06-30,"📉 La crisis sanitaria y económica golpeó fuertemente a toda la región. Las tasas de desempleo registran cifras históricas

https://t.co/ZmBBbl9u2d"
1,2020-06-30,"Y casi queman medio Santiago ... 

desempleo en Chile ascendió de marzo a mayo pasado a 11.2 por ciento, su peor nivel en una década, informó hoy el Instituto Nacional de Estadísticas (INE).
 https://t.co/bxwPICSX86"
2,2020-06-30,"Conversamos en #LaPruebaDeADN con @tromben sobre las cifras de desempleo en Chile

📻https://t.co/f3NfmZuwfH
📺https://t.co/BknKpWkgJO
📲WhatsApp +56977727572 https://t.co/lITIN3GYgx"
3,2020-06-30,Desempleo en Chile llega a su peor nivel en una década 👉  https://t.co/WXhkNU6cGm https://t.co/ZUsxjkX3Tz
4,2020-06-30,"@Cooperativa La crisis de Covid-19 a nivel mundial golpeará fuerte, y si a Chile le sumas la delincuencia de los días de “estallido delictual”.... es la combinación perfecta para peores cifras de desempleo"
5,2020-06-30,"Coronavirus eleva tasa de desempleo en Chile al 11,2% en trimestre a mayo https://t.co/O3vZXqQPb3"
6,2020-06-30,"¡DESEMPLEO EN CHILE!
Es de 11,2% hasta mayo de 2020.
Tendencia que venía a la baja pasando de 6,9% en abril de 2018 a 7,1% abril de 2019.
Con teletrabajo y todo aumentamos la pobreza
https://t.co/9SRjKZuND8
#USAOdiaAVzlA #AquelarreTVN #NoTodosSomosIguales"
7,2020-06-30,"https://t.co/0WUQc4jYw5
Chile registró hasta mayo tasa de desempleo del 11,2 %
https://t.co/Mau9GsVKyr"
8,2020-06-30,"Aumenta el desempleo en Brasil, Chile y Colombia como consecuencia del coronavirus https://t.co/2asUg9KKYL vía @laprovinciabsas"
9,2020-06-30,"#Chile | La tasa de desocupación nacional durante el trimestre marzo-mayo de 2002 fue 11,2%, incrementándose 4,0 puntos porcentuales respecto a igual período del año anterior.

Para apoyar el periodismo independiente https://t.co/kUz05iOA7T
https://t.co/c7bDne90PZ"
10,2020-06-30,@danyscht Chile llegó al 11% de desempleo
11,2020-06-30,"Aumenta el desempleo en Brasil, Chile y Colombia como consecuencia del coronavirus https://t.co/5qDiYmQQ8q vía @Noticiasde_"
