,date,text
0,2020-07-20,@planwac Si tú fueras uno de los Venezolanos que debió emigrar a Colombia para poder sobrevivir ya sea por falta de alimentos de trabajo o por razones de salud y ahora sin empleo debes retornar de cualquier manera supongo que no verías a @numamolina tan humilde llamándote de esa manera
1,2020-07-20,"#MARULANDAPRESIDENTESENADO, POR SU CALIDAD HUMANA , SU PROFUNDO AMOR DE PATRIA, POR SU HONESTIDAD, SU INTERÉS NO ES UN PARTIDO POLÍTICO,  ES COLOMBIA, ES  SU JENTE QUE SUFRE EN ESTE MOMENTO EL DOLOR, EL HAMBRE, EL DESEMPLEO, POR COVID19, Y APOYA LA  RENTA BASICA YA"
2,2020-07-20,"@andrescepeda Se dice que: Lo que más afecta negativamente a un país es su nivel de pobreza, desempleo y educación. Colombia está en un borde muy peligroso. 
Nosotros pensamos: Lo que más afecta negativamente a nuestro país es la corrupción, los políticos, todos ineptos y la resignación."
3,2020-07-20,"#Colombia #Desigualdad
@ActualidadRT: ""tiene un poder gigante de segregación"", analiza Andia, y señala que ello podría ""tener impacto en el acceso al empleo, en el estigma, en los prejuicios, etc."". Vía https://t.co/QA9Dlss5bh👇🏼 https://t.co/Mf9jSwDtbz"
4,2020-07-20,Acá pueden encontrar las ofertas disponibles de empleo en Colombia. Les mostramos cómo usar la Bolsa Única de empleo del @ServiciodEmpleo en la que pueden encontrar en un mismo lugar todas las ofertas https://t.co/efbIBHiH9f
5,2020-07-20,"Se dice que: Lo que más afecta negativamente a un país es su nivel de pobreza, desempleo y educación. Colombia está en un borde muy peligroso. 
Nosotros pensamos: Lo que más afecta negativamente a nuestro país es la corrupción, los políticos, todos ineptos y la resignación. https://t.co/YGS1JGLAun"
6,2020-07-20,"@bayek_of Yo ando por Colombia con empleo, así q estoy bien no me quejo"
7,2020-07-20,"Se dice que: Lo que más afecta negativamente a un país es su nivel de pobreza, desempleo y educación. Colombia está en un borde muy peligroso. 
Nosotros pensamos: Lo que más afecta negativamente a nuestro país es la corrupción, los políticos, todos ineptos y la resignación. https://t.co/Zlh1BBzf1G"
8,2020-07-20,"Se dice que: Lo que más afecta negativamente a un país es su nivel de pobreza, desempleo y educación. Colombia está en un borde muy peligroso. 
Nosotros pensamos: Lo que más afecta negativamente a nuestro país es la corrupción, los políticos, todos ineptos y la resignación. https://t.co/8VkK1xdBK9"
9,2020-07-20,"@colombia_hist @rafacolontorres Pues q Mierda la que nos dejaron. Corrupción desempleo, narcos, violencia política y una ambición desmesurada de unas cuantas familias por el poder"
10,2020-07-20,"@josegreghg A diferencia de Colombia, donde el deterioro institucional,la crisis moral,la corrupción y el desempleo,representan el peor legado.Y si fuese poco,a la falta de oportunidades para la juventud,se le suma el propósito de reducirles el salario,haciendo que muchos emigren del país."
