,date,text
0,2020-07-19,"¿Cómo hago para generar empleo? 🤔
Voy a mandar un audio por WhatsApp para que todos estén tranquilos 😊

– Carlos Alvaro, presidente de Costa Rica"
1,2020-07-19,Desempleo en Costa Rica alcanza nivel record en pandemia https://t.co/60YvXyGw0g
2,2020-07-19,"Desempleo en Costa Rica, 20% en el sector privado VS 0% en el sector público... 20% de desempleo más la informalidad, el subempleo, y la gente que después de dos años sin encontrar sale de las estadísticas, todo en el sector privado... https://t.co/hwsvtWb4hL"
3,2020-07-19,"Me ahueva leer que todo lo que pasa en Costa Rica es por culpa del pueblo, si fuera otro escenario favorable nos dirían que es por el gobierno, pronto dirán que el desempleo y los problemas económicos también son culpa del pueblo. =("
4,2020-07-19,"Eliminar execiones de impuestos a ricos y salario único en empleo público; dos recomendaciones de OCDE para Costa Rica.

https://t.co/ylaC8Xp2Rk https://t.co/jOMLk2HxxF"
5,2020-07-19,"En esta coyuntura Costa Rica debe crear en las costas un régímen especial para la atracción de empresas que están buscando salir de China: bajas cargas sociales, electricidad subvencionada, 0 impuestos. Trabajo a las costas, que deben tener un 50% de desempleo o más."
6,2020-07-19,"@Adid_Soto Estamos hablando de empleos en el proceso constructivo, atracción de inversión, facilidad de movilidad por lo que hay dinamismo de empleo, transporte de carga por que no? Sabía que hay empresas que no invierten en Costa Rica por la situación vial del GAM?Porque representa pérdida"
7,2020-07-18,(Video) El desempleo en Costa Rica es espeluznante. Aquí la explicación INEC https://t.co/LXD3dfKcNQ https://t.co/wB9wdBvB8Z
8,2020-07-18,"@CarlosAlvQ  Costa Rica es trasparente en cada informe de la salud que transmite diariamente por las diferentes redes de comunicación, sin embargo como tico también me gustaría saber cuántos casos de desempleo se reportan diariamente, cuantas PYME han cerrado por no poder operar."
9,2020-07-18,"Freelance git deploy - COSTA RICA. Informáticos que tengan experiencia en elaboración de documentación técnica y deploy de software
Empleos y Trabajo &gt; Ofertas de Empleo ó Trabajo - Todo el País. +Info: --&gt; https://t.co/z9jfF2u04z https://t.co/1G19exeD47"
10,2020-07-18,El desempleo en Costa Rica alcanza el 20% en lo que va de pandemia - https://t.co/Py6XNTZpCb https://t.co/pMFARRAMlt
11,2020-07-18,Cifra récord de desempleo en Costa Rica  https://t.co/26x9L72rFR
12,2020-07-17,COSTA RICA. Desempleo trepa a más de un 20%. https://t.co/jvFAkGVjwF
13,2020-07-17,"#Internacionales Costa Rica alcanzó nivel recórd de desempleo entre marzo y mayo. Con una cifra de 20,1%, la tasa de desempleo mostró un incremento de 8,8 puntos porcentuales desde el mismo periodo de 2019: https://t.co/oQCLF18dGa . https://t.co/JmCKHj4ilh"
14,2020-07-17,"El desempleo en ese país tuvo un aumento debido a las medidas de confinamiento.
https://t.co/5EBZPnMFei"
15,2020-07-17,"Desempleo en #CostaRica alcanza nivel récord por impacto de la pandemia
https://t.co/mN7EJ5kWE4"
16,2020-07-17,Director General Resort en Costa Rica – (All’estero) https://t.co/Vt8d6I7ooO
17,2020-07-17,#Internacionales Costa Rica alcanzó nivel recórd de desempleo entre marzo y mayo: https://t.co/oQCLF18dGa . https://t.co/CXFjtxK114
18,2020-07-17,"Desempleo en Costa Rica alcanza nivel récord por impacto de la pandemia.

https://t.co/nHapspD9U2"
