,date,text
0,2020-07-20,"“En el país se han perdido 175 mil empleos, pero se pudo frenar el desempleo en base a estas nuevas leyes que se promulgaron de manera urgente en el Congreso Nacional”, dijo anoche en #TreintaTreinta Henry Kronfle, Miembro Fundador Comité de Emergencia de Guayaquil, Ecuador. https://t.co/LA3kHvSqT3"
1,2020-07-20,"#ProtegemosEmpleoEc | Dotamos de las herramientas necesarias para cuidar y preservar el empleo durante la emergencia sanitaria, porque #AEcuadorLoSacamosTodos.

👉🏻Conoce más: https://t.co/t2ncrIJ5IK https://t.co/AsB3TLp2Ep"
2,2020-07-20,#Reclutamiento #FAE Inscripciones Requisitos Aspirantes #Fuerza #Aérea #Ecuatoriana Ecuador Actualizado https://t.co/d6uGQtZvdn @elyex #Empleo #En_Línea #Llamamiento https://t.co/oFcQhUsYzS
3,2020-07-20,La Vicepresidencia organizó un foro para analizar el empleo en Ecuador - https://t.co/cqjsSk9Fe1 https://t.co/Qxcp32tUfN
4,2020-07-20,#Reclutamiento Policía #Nacional Ecuador #Inscripciones #Cronograma Fechas Selección https://t.co/4OcRaoowQ4 @elyex #Consultar #Empleo #Llamamiento #Policia #Requisitos #Seleccion https://t.co/WCQuEb4Q5w
5,2020-07-20,"Los pilares de la producción y competitividad son el empleo, comercio exterior, institucionalidad, innovación, impulso a la demanda interna y educación. Juntos lo podemos lograr para que Ecuador se reactive. #FuertesYCompetitivos."
6,2020-07-20,"Nuestras familias necesitan ayuda de las autoridades pertinentes para regresar a Ecuador 🇪🇨. Llevamos casi 5 meses varados en Cuba 🇨🇺, algunos ya perdieron su empleo en medio de este panorama tan difícil, ya inició el curso escolar vía online. Por favor #llevanosacasaCopa"
7,2020-07-20,"PalmaActiva firma un protocolo de colaboración con la Embajada de Ecuador en España para fomentar el empleo y el emprendimiento.

Seguimos trabajando con los colectivos de nuestra ciudad para seguir impulsar la ocupación:
https://t.co/pV9UrvrLEB https://t.co/pkVQCg53Do"
8,2020-07-19,Los emprendimientos y el desempleo aumentan | El Comercio https://t.co/0oXbwAazpd
9,2020-07-19,"@DataAnalisis1 @MashiRafael @FLEduardo1 La situación del Ecuador en todo aspecto es muy preocupante para todos los ecuatorianos, la falta de empleo, los despidos de trabajadores públicos y privados, alimentan más aún la gravedad de la situación. Esto afecta a los más pobres y pone en peligro las vidas de los ciudadanos"
10,2020-07-19,"Cuando compras productos nacionales, fortaleces el #empleo de miles de familias principalmente en las zonas rurales del #Ecuador. https://t.co/TQEZ5u09ZJ"
11,2020-07-19,"@laderechamedios Wow lo mismo qué hay que hacer en Ecuador, eliminar millones de regulaciones que no permiten generar empleo!! @CaridadVela"
12,2020-07-19,"#NoInconstitucionalidad169 #BastaDespidosAbusivos  #TrabajadoresEnVigilia  La @CorteConstEcu debe actuar con justicia a favor de los trabajadores despedidos, que se paguen las liquidaciones justas y se frene el abuso y el desempleo, superamos los 250.000 despedidos en el Ecuador. https://t.co/pvEHrnHX6l"
13,2020-07-19,"El confinamiento es una de las causales de la susceptibilidad por la que estamos pasando en #Ecuador, hoy la #pandemia, el #desempleo, la recesión económica pasaron a segundo plano, hoy el tema de debate es la creencia religiosa de la nueva #VP, mayor sindéresis por favor."
