,date,text
0,2020-07-05,"#ABCEconómico:  El complicado escenario económico de países como Argentina y Brasil fueron el desencadenante de la repatriación de miles de paraguayos. 

👉🏽Ante ese escenario, el desafío económico es generar empleo.

📲https://t.co/6rtRLrrUs7 https://t.co/VFZoBbEBjV"
1,2020-07-05,"@5toStonepy si, es lo opuesto a Paraguay, ellos tienen 7 de cada 10 trabajadores con empleo formal"
2,2020-07-05,@Ordenpy @MinPublicoPy @minteriorpy @Carlabacigalupo @Santula @clariarias @ABCDigital @UltimaHoracom Y ese no eeees el único patrón así... son iguales o poeor mierda que esté señor de rakiura....Sólo que no salen a luz por temor a perder el empleo.... ya que en paraguay no hay nadie que proteja a la gente trabajadora
3,2020-07-05,"#COVID19 #ABCEconómico El complicado escenario económico y sanitario en Argentina, Brasil y otros países desencadenó en la repatriación de miles de paraguayos. 

📌 Ante ese escenario, el desafío económico es generar empleo.

https://t.co/X4xByEOCFN"
4,2020-07-05,"@GustavoVelazque Fruto de la pobreza, del desempleo y del mediocre sistema educativo. Esta gente probablemente ""críe"" hijos que repetirán los mismos vicios. Una sociedad sumida en la ignorancia, sin valores y sin futuro. Realidad que duele en Paraguay. Impotencia!😠"
5,2020-07-04,"Los resultados de las últimas semanas muestran que todo el esfuerzo que se hizo se fue al carajo, a costo de cierres de negocios y pérdidas de empleo. Finalmente la cuarentena en Paraguay no fue tan inteligente como se promociona desde el gobierno. https://t.co/TxNeBLUeXf"
6,2020-07-04,"¡En el SNPP tenemos más cursos online para vos!👩🏽‍💻🧑🏻‍💻👨🏿‍💻 💻

☑️ Aprendé  todo lo que necesitas para acceder a tu primer empleo 👨🏽‍💼👩‍💼🙌🏿

⏩Anotate en nuestro sistema #Identidad 👉🏼 https://t.co/kviLHg1KXk 

#JuntosPorElTrabajo🇵🇾 https://t.co/N3NWjlibcN"
7,2020-07-04,"Fue el ataque frontal más importante llevado a cabo por el Ejército Boliviano durante toda la guerra donde empleó, masivamente todos los recursos disponibles: artillería, aviación, tanques, morteros y lanzallamas.
Fuente: Wikipedia - Historia del Paraguay."
8,2020-07-03,"PARAGUAY SE RECUPERARÁ DE LA CRISIS EN 2022 

https://t.co/D0pUkwRru6… 

Con una demanda deprimida, las empresas atraviesan un escenario de incertidumbre, mientras los niveles de desempleo y pobreza se mantienen altos https://t.co/PMM779jmm4"
9,2020-07-03,"#LoMásLeído #RevistaPLUSPY 

PARAGUAY SE RECUPERARÁ DE LA CRISIS EN 2022

https://t.co/XmtRgARWD8 

Con una demanda deprimida, las empresas atraviesan un escenario de incertidumbre, mientras los niveles de desempleo y pobreza se mantienen altos. https://t.co/FlUcuQkuWp"
