,date,text
0,2020-07-19,"@AstramOficial @RolandoCastroSv @marioduran Ojalá y sacien todos esos extranjeros que es han ido a podersr de nuestros trabajos . Porque la mayoría de empresas extranjeros llevan la empresa y llevan hasta l el personal de su país , y nunca hay fuentes de empleo en El Salvador 😡"
1,2020-07-19,@ElMundoSV @nayibbukele Creo que será el tiro de gracia que bukele le está dando a la economía de El Salvador al no apertura la 2da fase sin ningún estudio e informe técnico puro capricho y burlarse de este pueblo cuantas empresas está quebrando y más desempleo
2,2020-07-19,"@Alexand35821800 @rpatrickmurray El gobierno actual se enriquece, BUKELE y sus ministros robándose los préstamos, no ha cambiado nada, como tú dices Arena y Fmln robaron y ahora bukele Roba.

No ha cambiado nada El Salvador. 

Pero al día de hoy se ve más pobreza y desempleo que antes. Es un ""logro"" de bukele"
3,2020-07-19,"@Alexand35821800 @rpatrickmurray Alexander y que ha mejorado el país con un año de bukele???

Los funcionarios y amigos de bukele siguen robando como los mismos de antes.  Y ahora el país está más endeudado con bukele que con los mismos de siempre. 

Hay más pobreza y desempleo en El Salvador."
4,2020-07-19,"@rpatrickmurray Les recuerdo que El Salvador nunca destacó en nada, todavía me sorprende ver gente pidiendo y pidiendo y no se da cuenta que este país lleva años estancado, hospitales de vergüenza, salarios penosos, violencia, desempleo, etc, etc."
5,2020-07-18,"@GustavoBolivar Vaya pues llego el Salvador, le hago una propuesta entonces si esta seguro que el país va a cambiar con PETRO En el poder porque no transfiere a Colombia sus recursos millonarios que tiene en MIAMI y los invierte para crear empleo o es EL PADRE PREDICA PERO NO PRACTICA"
6,2020-07-18,@salvadequinta @butacondelgarci Salvador en este país no se ha fomentado el empleo en la vida. Si se fomentase no robarían a los autónomos y empresarios pequeños que quieren luchar por un proyecto propio. Es el único país de Europa en el que te cobran aunque no generes nada. Y da igual quien gobierne...
7,2020-07-18,"#Conversatorio ""Las Periodistas ante el Covid-19"". La periodista Pamela Geraldine Alfaro nos comenta acerca de la situación del periodismo en El Salvador durante la pandemia, como el desempleo, información falsa desde fuentes oficiales, coerción y ataques desde el Estado. https://t.co/uk4ujqvrQd"
8,2020-07-18,"18.jul.1929 Mediante el empleo de aviones pequeños, es inaugurado el servicio de transporte aéreo entre las capitales de El Salvador y Guatemala. #EfeméridesSV https://t.co/QRefVbMAgt"
9,2020-07-17,@nayibbukele @SalaCnalSV @ANEPElSalvador @TigoElSalvador La empresa tigo el salvador iso q me despidieron de donde yo elaboraba desde casi 6 años por favor ayudennos tigo esta atropeyando laboralmente a varias familias yo desde enero estos sin empleo por culpa de tigo el salvador
