	tweetUrl	time	text	replies	retweets	likes	date	iso_2
0	/LucioGutierrez3/status/1212218182741766144	2019-12-31 21:45:11	"Con Lucio recuperaremos la Dignidad, la Honradez y el Patriotismo.
Volverá la Inversión, el Empleo, la Seguridad, La Economía volverá a crecer al 9% y Ecuador será grande y respetado en el concierto de las naciones del Mundo.
Con Lucio recuperaremos la Plata que se robaron."	1	0	0	2019-12-31	EC
1	/RICAR100/status/1212191239761780736	2019-12-31 19:58:07	no eres creador de empleo, más bien quedarías como tirano, negrero vulgarmente y en Ecuador sobre todo los impuestos si son un robo.	0	0	0	2019-12-31	EC
2	/lycan7keops/status/1212485499589402624	2020-01-01 15:27:24	Oirás ve samaritano @LassoGuillermo falso que té la das de generoso y preocupado de la pobreza y empleo en el ecuador pero en el feridos bancário si no te dolió dejar en la  a muchas familias y depositantes del@país	0	1	1	2020-01-01	EC
3	/notimundoec/status/1212409407692128257	2020-01-01 10:25:02	"#JoséHidalgo: “De cada 10 personas que buscan trabajo en el Ecuador apenas 4 lo hacen en condiciones adecuadas. Está creciendo el empleo que tiene como base la informalidad.”
#BalanceLaboral2019 #Acontecimientos2019"	0	0	0	2020-01-01	EC
4	/kebg1963/status/1212549410284081152	2020-01-01 19:41:22	"La mejor manera de acabar con fake news o contra la democracia es eliminar CORRUPCIÓN estatal y privada, generar empleo y educar, así ni @ActualidadRTv ni @MashiRafael tendrán chamba en Ecuador
@Lenin @ottosonnenh @RichardM_A https://twitter.com/4pelagatos4/status/1212525497575464960 …"	0	1	1	2020-01-01	EC
5	/soy_ecuador2019/status/1212563955153027072	2020-01-01 20:39:09	Empezamos con despidos en la función pública? Más desempleo. Excelente 2020. Un muergano llamado presidente miente al Ecuador para que sus lamebotas llamados ministros engañen más al pueblo.	0	0	0	2020-01-01	EC
6	/dorellana2012/status/1212574344741871618	2020-01-01 21:20:26	"Gente así convirtió la @PUCE_Ecuador en nido de izquierdistas, resentidos y retrógrados. 
Difícil sr @c_larreategui debatir con teóricos que en su vida han dado un empleo.
Por criterios así, una universidad relativamente nueva como @UDLAQuito ,ahora le duplica en estudiantes."	2	1	8	2020-01-01	EC
60	/Guillermogt63/status/1212849145360388096	2020-01-02 15:32:24	Señores legisladores, señores empresarios, señores que apoyan y no apoyan al Gobierno, el Ecuador necesita avanzar en todos los campos; impulsen positivamente las reformas y decisiones orientadas al desarrollo nacional;hay que salir del empantanamiento de la deuda y el desempleo.	0	0	0	2020-01-02	EC
59	/Pabloarturo81/status/1212847734723612672	2020-01-02 15:26:48	#Ecuador, según @TheEconomist es el 5to país com más actividad emprendedora. Viendo el top 10, me queda una tremenda duda si esto es un síntoma de la informalidad y falta y alto desempleo, antes que de desarrollo. pic.twitter.com/LHSWdLJDFu	4	2	12	2020-01-02	EC
58	/ecuadorenvivo/status/1212870394765565955	2020-01-02 16:56:50	Más de 5 millones de personas no tienen un empleo adecuado en Ecuador http://owl.li/ZKuT30q6oXC pic.twitter.com/UjBfIA7Vzv	0	3	2	2020-01-02	EC
