	tweetUrl	time	text	replies	retweets	likes	date	iso_2
0	/suas_uruguay/status/1212477645046321154	2020-01-01 14:56:11	El FNR está expuesto al desempleo, debe tener autonomía financiera, es un seguro de técnicas y tecnologías.@colegiomedicouy @MSPUruguay @FNR_Uruguay @elpaisuy @LuisLacallePou @AliciaFerreira9 @ASSEcomunica @AyCConsultoresY @LauraEchague pic.twitter.com/zi7eN3a7oL	0	2	2	2020-01-01	UY
1	/Yo_Observadora/status/1212541280334434304	2020-01-01 19:09:03	"Vos vivís en Uruguay? Xq no se si sabías que hay un déficit mayor al 2002 y cerraron cientos de empresas donde quedaron miles de trabajadores sin empleo.
Eso no te enteraste y si de las medidas?"	0	0	1	2020-01-01	UY
2	/Randstad_Uy/status/1212866187228520448	2020-01-02 16:40:07	"#OportunidadLaboral
Nos encontramos en la búsqueda de Auxiliar Administrativo Contable para nuestro cliente nacional, líder en su rubro. 
Para conocer más y postularte, ingresá en: http://mtr.cool/emxvghdgtp 
#trabajo #empleo #uruguay #empleoenuruguay #buscotrabajo #buscoempleo pic.twitter.com/eV0zMyVAqV"	0	0	1	2020-01-02	UY
3	/AegisConsultora/status/1212733711835373571	2020-01-02 07:53:43	" ¡¡¡FELIZ AÑO NUEVO!!! 

Las siguientes son las propuestas activas...

¿Nos ayudas compartiendo? 
#empleo #trabajo #job #enero #Uruguay pic.twitter.com/d9VAT70gNg"	0	1	1	2020-01-02	UY
4	/encuentro970/status/1212724682920808448	2020-01-02 07:17:50	"Teresa Herrera en @970noticias : ""en Uruguay muchas mujeres perdieron su empleo por tener tobillera y custodia por violencia doméstica"".
https://bit.ly/2FdWWvh pic.twitter.com/c03tdtthn2"	0	2	0	2020-01-02	UY
5	/MartinRiveiro92/status/1212705734749757440	2020-01-02 06:02:32	"Teresa Herrera en @970noticias ""en Uruguay muchas mujeres perdieron su empleo por tener tobillera electrónica y custodia por violencia doméstica""."	1	3	2	2020-01-02	UY
6	/CdV_Uruguay/status/1212912887959867397	2020-01-02 19:45:41	"Los políticos son tan ineptos y populistas, que ni siquiera se dan cuenta que dónde hay ganancias superiores es para donde se orienta la inversión y por dónde puede empezar la reactivación.... 
Sin inversión no hay crecimiento, ni empleo, ni salarios.... pero hay gasto público https://twitter.com/nicolasquinn/status/1212897856799100928 …"	0	2	6	2020-01-02	UY
7	/Yo_Observadora/status/1212903918210076674	2020-01-02 19:10:03	"¿Dónde estás viviendo?
Porque vivo en Uruguay y está todo muy mal.
Inseguridad al borde del caos, empresas cerradas y miles de personas sin empleo, precios altísimos, etc."	0	0	0	2020-01-02	UY
13	/parreshia/status/1213064001694896128	2020-01-03 05:46:10	Desempleo de Uruguay 2019 https://datosmacro.expansion.com/paro/uruguay  vía @datosmacro	0	0	0	2020-01-03	UY
12	/fpvillella/status/1213098947251757058	2020-01-03 08:05:01	Y en cuanto al empleo y el salario, veamos los 80, 90 y del 2000 para aquí. Sin ser en los 15 años de FA, solo se produjo un razonable aumento del salario real en el primer gobierno de Sanguinetti.	0	0	0	2020-01-03	UY
11	/MartinSanchezD/status/1213107826295488512	2020-01-03 08:40:18	"Al contrario, países que esta persona denominaría socialistas (Ecuador, Bolivia, Uruguay) tienen la cifra de desempleo por debajo del 10 por ciento (trabajan más). A los socialistas sí les gusta trabajar!
Importa cuántos trabajamos o la productividad de nuestro trabajo?"	2	0	1	2020-01-03	UY
10	/EstelaUruguay/status/1213147636863307776	2020-01-03 11:18:30	"Hay q ser atrevido!!

Dijo Lacalle Pou sobre grado inversor: ""Se va a fortalecer la confianza en Uruguay
Si no lo perdimos hasta ahora, con el manejo de la economía, con el déficit q vamos a heredar, con la inflación, con la deuda, con el desempleo, el mal gasto muchas veces "	8	2	19	2020-01-03	UY
9	/impouruguay/status/1213163415532920832	2020-01-03 12:21:12	"#LlamadosAConcurso
Accedé a los llamados a concurso publicados en el #DiarioOficial, para integrar puestos en: @Udelaruy @ISEF_UdelaR @ASSEcomunica @MI_UNICOM @AntelDeTodos @FicUdelar, entre otros.
→ http://impo.com.uy/concursos 
#IMPOrtaQueLoSepas #IMPOuy #Trabajo #Empleo #Uruguay pic.twitter.com/zIVaTMITqy"	0	2	4	2020-01-03	UY
8	/JBL1836/status/1213177004952039426	2020-01-03 13:15:12	Gracias a la ley presentada por @DipRodrigoGoni, el Uruguay emprendedor tiene una nueva herramienta jurídica para desarrollarse con mayor agilidad y menos obstáculos burocráticos. De esta forma habrá más oportunidades y generación de empleo genuino. #LeyEmprendeUy https://twitter.com/DipRodrigoGoni/status/1212835747511840773 …	0	26	53	2020-01-03	UY
14	/Sergio_Manuel13/status/1213639982973407233	2020-01-04 19:54:54	"Es gracioso que al buscar el desempleo en Uruguay, sean las mujeres las que se encuentren con una taza mas alta de paro 
¡Venga! que es preferible contratar un hombre y pagarle un 23,2% más que contratar a una de esas chicas y ahorrarte unos pesitos. pic.twitter.com/Boqf1NDXYH"	1	0	1	2020-01-04	UY
15	/AldoLema_uy/status/1213399976270860288	2020-01-04 04:01:12	"Desequilibrios macro de Uruguay son mayores a mostrados por estadísticas básicas:
-Déficit fiscal (sin ingresos extraordinarios) está sobre 5% del PIB.
-Inflación está reprimida por congelamiento de tarifas.
-Desempleo amortiguado por baja en participación laboral (“desaliento”). https://twitter.com/AldoLema_uy/status/1212371683677483008 …"	6	45	59	2020-01-04	UY
16	/GerardoAmarilla/status/1213420069289676800	2020-01-04 05:21:03	La empresa de monopatines Movo se fue de Uruguay por las restricciones https://www.elpais.com.uy/informacion/sociedad/empresa-monopatines-movo-uruguay-restricciones.html … vía @elpaisuy Esto es lo que logra la manía regulatoria del socialismo: ahoga el emprendimiento,ahuyenta la inversión, elimina fuentes de empleo, restringe libertades.	17	36	76	2020-01-04	UY
17	/AMPino9406/status/1213493814545068034	2020-01-04 10:14:05	Me gustaría saber cuánta gente empleó esta empresa en Uruguay para así amargarme porque se van	0	0	2	2020-01-04	UY
18	/Lost_Memoriess/status/1213559930445279232	2020-01-04 14:36:48	Si, un uruguay distinto se viene, con crisis y mas desempleo! https://twitter.com/ArtuHeber/status/1213304231668731905 …	0	0	0	2020-01-04	UY
19	/AgustinPernas/status/1213490012760748037	2020-01-04 09:58:59	Hay tantos libros como versiones, no te comas la pastilla. Te puedo recomendar varios no tan sencillos. En Uruguay y en el mundo las Pymes siguen funcionando, son grandes creadora de empleo, el gran problema es la altísima presión fiscal que los gobiernos aplican y mal gastan.	1	0	2	2020-01-04	UY
23	/CdV_Uruguay/status/1213806568657051649	2020-01-05 06:56:52	"Un empleo privado lo decide el consumidor con su preferencia de consumo;
un empleo público lo decide un politico con la utilización del poder coercitivo del Estado."	0	25	44	2020-01-05	UY
22	/Jose36851867/status/1214014743566077953	2020-01-05 20:44:04	te lo explico simple vivo en Argentina y si a vos no te gusta andate a vivir a Brasil chile o Uruguay países que comulgan con la ideología que vos tenes hambre represión totalitarismo corrupción desempleo ...2 + 2 es 4	1	0	0	2020-01-05	UY
