,date,empleo_volumen,favorite_count,iso2,retweet_count
0,2020-06-15,53,0.0,AR,0.0
1,2020-06-16,67,0.0,AR,0.0
2,2020-06-17,122,0.0,AR,0.0
3,2020-06-18,133,0.0,AR,0.0
4,2020-06-19,64,0.0,AR,0.0
5,2020-06-20,53,0.0,AR,0.0
6,2020-06-21,37,0.0,AR,0.0
7,2020-06-22,60,0.0,AR,0.0
8,2020-06-23,146,0.0,AR,0.0
9,2020-06-24,97,0.0,AR,0.0
10,2020-06-25,78,0.0,AR,0.0
11,2020-06-26,92,0.0,AR,0.0
12,2020-06-27,79,0.0,AR,0.0
13,2020-06-28,118,0.0,AR,0.0
14,2020-06-29,104,0.0,AR,0.0
15,2020-06-30,67,0.0,AR,0.0
16,2020-07-01,94,0.0,AR,0.0
17,2020-07-02,228,0.0,AR,0.0
18,2020-07-03,65,0.0,AR,0.0
19,2020-07-04,68,0.0,AR,0.0
20,2020-07-05,56,0.0,AR,0.0
21,2020-07-06,17,0.0,AR,0.0
22,2020-07-11,81,577.0,AR,98.0
23,2020-07-12,161,2352.0,AR,220.0
24,2020-07-13,121,352.0,AR,94.0
25,2020-07-14,144,393.0,AR,244.0
26,2020-07-15,129,383.0,AR,119.0
27,2020-07-16,233,14866.0,AR,4671.0
28,2020-07-17,202,977.0,AR,200.0
29,2020-07-18,158,715.0,AR,225.0
30,2020-07-19,175,4416.0,AR,1652.0
31,2020-07-20,63,74.0,AR,40.0
