,date,empleo_volumen,favorite_count,iso2,retweet_count
0,2020-06-15,83,0.0,CO,0.0
1,2020-06-16,102,0.0,CO,0.0
2,2020-06-17,111,0.0,CO,0.0
3,2020-06-18,119,0.0,CO,0.0
4,2020-06-19,143,0.0,CO,0.0
5,2020-06-20,96,0.0,CO,0.0
6,2020-06-21,59,0.0,CO,0.0
7,2020-06-22,84,0.0,CO,0.0
8,2020-06-23,116,0.0,CO,0.0
9,2020-06-24,167,0.0,CO,0.0
10,2020-06-25,127,0.0,CO,0.0
11,2020-06-26,102,0.0,CO,0.0
12,2020-06-27,101,0.0,CO,0.0
13,2020-06-28,92,0.0,CO,0.0
14,2020-06-29,133,0.0,CO,0.0
15,2020-06-30,779,0.0,CO,0.0
16,2020-07-01,480,0.0,CO,0.0
17,2020-07-02,182,0.0,CO,0.0
18,2020-07-03,107,0.0,CO,0.0
19,2020-07-04,72,0.0,CO,0.0
20,2020-07-05,157,0.0,CO,0.0
21,2020-07-06,31,0.0,CO,0.0
22,2020-07-11,76,475.0,CO,166.0
23,2020-07-12,204,405.0,CO,242.0
24,2020-07-13,286,702.0,CO,378.0
25,2020-07-14,316,841.0,CO,277.0
26,2020-07-15,399,716.0,CO,256.0
27,2020-07-16,284,716.0,CO,413.0
28,2020-07-17,216,588.0,CO,180.0
29,2020-07-18,206,449.0,CO,230.0
30,2020-07-19,198,802.0,CO,253.0
31,2020-07-20,64,182.0,CO,51.0
