,date,empleo_volumen,favorite_count,iso2,retweet_count
0,2020-06-15,8,0.0,CR,0.0
1,2020-06-16,10,0.0,CR,0.0
2,2020-06-17,9,0.0,CR,0.0
3,2020-06-18,41,0.0,CR,0.0
4,2020-06-19,18,0.0,CR,0.0
5,2020-06-20,18,0.0,CR,0.0
6,2020-06-21,10,0.0,CR,0.0
7,2020-06-22,19,0.0,CR,0.0
8,2020-06-23,10,0.0,CR,0.0
9,2020-06-24,8,0.0,CR,0.0
10,2020-06-25,13,0.0,CR,0.0
11,2020-06-26,4,0.0,CR,0.0
12,2020-06-27,3,0.0,CR,0.0
13,2020-06-28,6,0.0,CR,0.0
14,2020-06-29,4,0.0,CR,0.0
15,2020-06-30,4,0.0,CR,0.0
16,2020-07-01,17,0.0,CR,0.0
17,2020-07-02,6,0.0,CR,0.0
18,2020-07-03,4,0.0,CR,0.0
19,2020-07-04,3,0.0,CR,0.0
20,2020-07-05,2,0.0,CR,0.0
21,2020-07-06,1,0.0,CR,0.0
22,2020-07-11,6,6.0,CR,4.0
23,2020-07-12,10,0.0,CR,0.0
24,2020-07-13,18,997.0,CR,220.0
25,2020-07-14,20,177.0,CR,44.0
26,2020-07-15,18,36.0,CR,8.0
27,2020-07-16,192,808.0,CR,219.0
28,2020-07-17,70,60.0,CR,15.0
29,2020-07-18,10,16.0,CR,2.0
30,2020-07-19,14,96.0,CR,16.0
