,date,empleo_volumen,favorite_count,iso2,retweet_count
0,2020-06-15,34,0.0,EC,0.0
1,2020-06-16,43,0.0,EC,0.0
2,2020-06-17,39,0.0,EC,0.0
3,2020-06-18,64,0.0,EC,0.0
4,2020-06-19,47,0.0,EC,0.0
5,2020-06-20,28,0.0,EC,0.0
6,2020-06-21,35,0.0,EC,0.0
7,2020-06-22,61,0.0,EC,0.0
8,2020-06-23,45,0.0,EC,0.0
9,2020-06-24,63,0.0,EC,0.0
10,2020-06-25,77,0.0,EC,0.0
11,2020-06-26,71,0.0,EC,0.0
12,2020-06-27,73,0.0,EC,0.0
13,2020-06-28,40,0.0,EC,0.0
14,2020-06-29,44,0.0,EC,0.0
15,2020-06-30,36,0.0,EC,0.0
16,2020-07-01,49,0.0,EC,0.0
17,2020-07-02,53,0.0,EC,0.0
18,2020-07-03,38,0.0,EC,0.0
19,2020-07-04,33,0.0,EC,0.0
20,2020-07-05,34,0.0,EC,0.0
21,2020-07-06,15,0.0,EC,0.0
22,2020-07-11,28,75.0,EC,74.0
23,2020-07-12,26,85.0,EC,36.0
24,2020-07-13,110,819.0,EC,441.0
25,2020-07-14,118,305.0,EC,169.0
26,2020-07-15,121,588.0,EC,395.0
27,2020-07-16,92,775.0,EC,450.0
28,2020-07-17,152,1459.0,EC,868.0
29,2020-07-18,52,182.0,EC,111.0
30,2020-07-19,52,171.0,EC,137.0
31,2020-07-20,16,26.0,EC,24.0
