,date,empleo_volumen,favorite_count,iso2,retweet_count
0,2020-06-15,11,0.0,PA,0.0
1,2020-06-16,18,0.0,PA,0.0
2,2020-06-17,12,0.0,PA,0.0
3,2020-06-18,23,0.0,PA,0.0
4,2020-06-19,10,0.0,PA,0.0
5,2020-06-20,12,0.0,PA,0.0
6,2020-06-21,4,0.0,PA,0.0
7,2020-06-22,14,0.0,PA,0.0
8,2020-06-23,12,0.0,PA,0.0
9,2020-06-24,12,0.0,PA,0.0
10,2020-06-25,8,0.0,PA,0.0
11,2020-06-26,11,0.0,PA,0.0
12,2020-06-27,13,0.0,PA,0.0
13,2020-06-28,13,0.0,PA,0.0
14,2020-06-29,9,0.0,PA,0.0
15,2020-06-30,12,0.0,PA,0.0
16,2020-07-01,20,0.0,PA,0.0
17,2020-07-02,20,0.0,PA,0.0
18,2020-07-03,16,0.0,PA,0.0
19,2020-07-04,9,0.0,PA,0.0
20,2020-07-05,15,0.0,PA,0.0
21,2020-07-06,4,0.0,PA,0.0
22,2020-07-11,12,10.0,PA,3.0
23,2020-07-12,28,47.0,PA,15.0
24,2020-07-13,40,79.0,PA,19.0
25,2020-07-14,24,467.0,PA,276.0
26,2020-07-15,22,197.0,PA,101.0
27,2020-07-16,26,46.0,PA,22.0
28,2020-07-17,34,41.0,PA,18.0
29,2020-07-18,24,39.0,PA,13.0
30,2020-07-19,10,6.0,PA,2.0
31,2020-07-20,8,4.0,PA,1.0
