,date,empleo_volumen,favorite_count,iso2,retweet_count
0,2020-06-15,10,0.0,UY,0.0
1,2020-06-16,9,0.0,UY,0.0
2,2020-06-17,22,0.0,UY,0.0
3,2020-06-18,8,0.0,UY,0.0
4,2020-06-19,4,0.0,UY,0.0
5,2020-06-20,4,0.0,UY,0.0
6,2020-06-21,6,0.0,UY,0.0
7,2020-06-22,12,0.0,UY,0.0
8,2020-06-23,7,0.0,UY,0.0
9,2020-06-24,18,0.0,UY,0.0
10,2020-06-25,23,0.0,UY,0.0
11,2020-06-26,67,0.0,UY,0.0
12,2020-06-27,13,0.0,UY,0.0
13,2020-06-28,8,0.0,UY,0.0
14,2020-06-29,31,0.0,UY,0.0
15,2020-06-30,25,0.0,UY,0.0
16,2020-07-01,28,0.0,UY,0.0
17,2020-07-02,13,0.0,UY,0.0
18,2020-07-03,24,0.0,UY,0.0
19,2020-07-04,6,0.0,UY,0.0
20,2020-07-05,8,0.0,UY,0.0
21,2020-07-06,2,0.0,UY,0.0
22,2020-07-11,4,9.0,UY,1.0
23,2020-07-12,16,2.0,UY,1.0
24,2020-07-13,40,113.0,UY,68.0
25,2020-07-14,54,1650.0,UY,728.0
26,2020-07-15,56,348.0,UY,59.0
27,2020-07-16,44,39.0,UY,5.0
28,2020-07-17,38,483.0,UY,162.0
29,2020-07-18,10,4.0,UY,0.0
30,2020-07-19,30,11.0,UY,5.0
31,2020-07-20,8,0.0,UY,0.0
