	date	empleo_volumen	replies	retweets	likes	iso_2
0	2019-12-31	4	0.0	2.0	5.0	PA
1	2020-01-01	3	2.0	0.0	2.0	PA
2	2020-01-02	9	31.0	164.0	474.0	PA
3	2020-01-03	11	36.0	41.0	83.0	PA
4	2020-01-04	2	0.0	2.0	6.0	PA
5	2020-01-05	7	4.0	6.0	17.0	PA
6	2020-01-06	6	1.0	4.0	4.0	PA
7	2020-01-07	24	18.0	53.0	112.0	PA
8	2020-01-08	10	30.0	65.0	215.0	PA
9	2020-01-09	17	67.0	177.0	630.0	PA
10	2020-01-10	14	4.0	41.0	75.0	PA
11	2020-01-11	10	2.0	9.0	22.0	PA
12	2020-01-12	16	9.0	26.0	42.0	PA
13	2020-01-13	10	2.0	3.0	7.0	PA
14	2020-01-14	15	1.0	6.0	77.0	PA
15	2020-01-15	15	9.0	32.0	104.0	PA
16	2020-01-16	14	7.0	156.0	422.0	PA
17	2020-01-17	10	9.0	4.0	22.0	PA
18	2020-01-18	7	7.0	128.0	166.0	PA
19	2020-01-19	16	19.0	73.0	131.0	PA
20	2020-01-20	15	49.0	125.0	349.0	PA
21	2020-01-21	6	6.0	78.0	105.0	PA
22	2020-01-22	11	8.0	25.0	44.0	PA
23	2020-01-23	11	5.0	3.0	13.0	PA
24	2020-01-24	9	2.0	10.0	13.0	PA
25	2020-01-25	15	3.0	10.0	18.0	PA
26	2020-01-26	7	0.0	2.0	6.0	PA
27	2020-01-27	16	1.0	0.0	5.0	PA
28	2020-01-28	7	1.0	11.0	23.0	PA
29	2020-01-29	20	6.0	24.0	49.0	PA
30	2020-01-30	18	11.0	23.0	75.0	PA
31	2020-01-31	14	7.0	16.0	23.0	PA
32	2020-02-01	5	0.0	2.0	13.0	PA
33	2020-02-02	3	0.0	1.0	5.0	PA
34	2020-02-03	5	1.0	2.0	3.0	PA
35	2020-02-04	10	9.0	30.0	45.0	PA
36	2020-02-05	7	5.0	48.0	99.0	PA
37	2020-02-06	11	5.0	5.0	24.0	PA
38	2020-02-07	12	7.0	34.0	64.0	PA
39	2020-02-08	11	1.0	0.0	5.0	PA
40	2020-02-09	11	41.0	36.0	102.0	PA
41	2020-02-10	21	6.0	15.0	42.0	PA
42	2020-02-11	40	343.0	593.0	1734.0	PA
43	2020-02-12	45	85.0	161.0	544.0	PA
44	2020-02-13	18	8.0	18.0	55.0	PA
45	2020-02-14	9	28.0	99.0	292.0	PA
46	2020-02-15	11	6.0	17.0	26.0	PA
47	2020-02-16	16	39.0	102.0	358.0	PA
48	2020-02-17	24	7.0	50.0	122.0	PA
49	2020-02-18	18	21.0	44.0	124.0	PA
50	2020-02-19	15	8.0	159.0	290.0	PA
51	2020-02-20	17	8.0	35.0	191.0	PA
52	2020-02-21	8	1.0	11.0	44.0	PA
53	2020-02-22	3	0.0	1.0	3.0	PA
54	2020-02-23	12	0.0	7.0	11.0	PA
55	2020-02-24	3	0.0	0.0	1.0	PA
56	2020-02-25	4	0.0	5.0	6.0	PA
57	2020-02-26	8	3.0	10.0	36.0	PA
58	2020-02-27	7	103.0	71.0	145.0	PA
59	2020-02-28	4	4.0	0.0	1.0	PA
60	2020-02-29	5	0.0	0.0	4.0	PA
61	2020-03-01	4	0.0	2.0	5.0	PA
62	2020-03-02	10	7.0	8.0	19.0	PA
63	2020-03-03	15	5.0	3.0	15.0	PA
64	2020-03-04	12	5.0	3.0	18.0	PA
65	2020-03-05	17	4.0	28.0	53.0	PA
66	2020-03-06	18	15.0	21.0	77.0	PA
67	2020-03-07	7	2.0	35.0	46.0	PA
68	2020-03-08	7	4.0	4.0	16.0	PA
69	2020-03-09	8	3.0	4.0	10.0	PA
70	2020-03-10	10	3.0	13.0	27.0	PA
71	2020-03-11	6	1.0	7.0	15.0	PA
72	2020-03-12	6	3.0	15.0	34.0	PA
73	2020-03-13	13	6.0	3.0	13.0	PA
74	2020-03-14	4	5.0	3.0	7.0	PA
75	2020-03-15	6	2.0	0.0	7.0	PA
76	2020-03-16	6	1.0	6.0	17.0	PA
77	2020-03-17	9	2.0	4.0	7.0	PA
78	2020-03-18	6	3.0	10.0	31.0	PA
79	2020-03-19	7	10.0	23.0	43.0	PA
80	2020-03-20	10	3.0	16.0	34.0	PA
81	2020-03-21	6	1.0	3.0	10.0	PA
82	2020-03-22	9	1.0	6.0	17.0	PA
83	2020-03-23	7	2.0	0.0	5.0	PA
84	2020-03-24	9	6.0	18.0	49.0	PA
85	2020-03-25	11	3.0	2.0	21.0	PA
86	2020-03-26	10	37.0	66.0	129.0	PA
87	2020-03-27	13	9.0	30.0	47.0	PA
88	2020-03-28	12	5.0	3.0	14.0	PA
89	2020-03-29	17	8.0	13.0	28.0	PA
90	2020-03-30	11	10.0	109.0	190.0	PA
91	2020-03-31	12	4.0	14.0	35.0	PA
92	2020-04-01	17	19.0	53.0	109.0	PA
93	2020-04-02	14	12.0	18.0	49.0	PA
94	2020-04-03	9	10.0	47.0	172.0	PA
95	2020-04-04	7	3.0	10.0	12.0	PA
96	2020-04-05	10	2.0	6.0	15.0	PA
97	2020-04-06	17	22.0	33.0	63.0	PA
98	2020-04-07	8	2.0	6.0	17.0	PA
99	2020-04-08	14	55.0	100.0	436.0	PA
100	2020-04-09	21	51.0	48.0	113.0	PA
101	2020-04-10	13	5.0	15.0	50.0	PA
102	2020-04-11	10	4.0	4.0	19.0	PA
103	2020-04-12	7	2.0	2.0	10.0	PA
104	2020-04-13	11	8.0	12.0	19.0	PA
105	2020-04-14	14	8.0	3.0	17.0	PA
106	2020-04-15	30	19.0	19.0	54.0	PA
107	2020-04-16	14	43.0	151.0	221.0	PA
108	2020-04-17	8	14.0	47.0	49.0	PA
109	2020-04-18	10	4.0	18.0	41.0	PA
110	2020-04-19	15	6.0	8.0	26.0	PA
111	2020-04-20	14	1.0	11.0	47.0	PA
112	2020-04-21	17	31.0	89.0	156.0	PA
113	2020-04-22	21	6.0	20.0	41.0	PA
114	2020-04-23	24	12.0	68.0	109.0	PA
115	2020-04-24	26	77.0	107.0	203.0	PA
116	2020-04-25	9	2.0	3.0	16.0	PA
117	2020-04-26	10	16.0	55.0	75.0	PA
118	2020-04-27	23	14.0	16.0	55.0	PA
119	2020-04-28	20	9.0	28.0	35.0	PA
120	2020-04-29	26	9.0	18.0	47.0	PA
121	2020-04-30	28	18.0	153.0	339.0	PA
122	2020-05-01	23	14.0	40.0	124.0	PA
123	2020-05-02	13	2.0	10.0	22.0	PA
124	2020-05-03	10	3.0	3.0	13.0	PA
125	2020-05-04	9	5.0	3.0	31.0	PA
126	2020-05-05	9	3.0	2.0	5.0	PA
127	2020-05-06	12	3.0	12.0	24.0	PA
128	2020-05-07	14	5.0	4.0	10.0	PA
129	2020-05-08	15	10.0	26.0	45.0	PA
130	2020-05-09	7	6.0	40.0	81.0	PA
131	2020-05-10	12	11.0	21.0	36.0	PA
132	2020-05-11	16	11.0	28.0	74.0	PA
133	2020-05-12	26	95.0	196.0	415.0	PA
134	2020-05-13	17	25.0	25.0	33.0	PA
135	2020-05-14	11	35.0	104.0	351.0	PA
136	2020-05-15	26	13.0	25.0	118.0	PA
137	2020-05-16	7	5.0	17.0	41.0	PA
138	2020-05-17	14	7.0	21.0	49.0	PA
139	2020-05-18	14	1.0	1.0	3.0	PA
140	2020-05-19	24	111.0	272.0	777.0	PA
141	2020-05-20	19	25.0	34.0	56.0	PA
142	2020-05-21	17	3.0	2.0	20.0	PA
143	2020-05-22	13	17.0	8.0	42.0	PA
144	2020-05-23	10	8.0	7.0	55.0	PA
145	2020-05-24	11	28.0	78.0	125.0	PA
146	2020-05-25	5	81.0	106.0	319.0	PA
147	2020-05-26	13	8.0	22.0	51.0	PA
148	2020-05-27	5	1.0	11.0	14.0	PA
149	2020-05-28	13	5.0	12.0	17.0	PA
150	2020-05-29	12	6.0	38.0	50.0	PA
151	2020-05-30	5	45.0	98.0	221.0	PA
152	2020-05-31	16	10.0	16.0	36.0	PA
153	2020-06-01	12	7.0	51.0	75.0	PA
154	2020-06-02	10	4.0	5.0	23.0	PA
155	2020-06-03	10	6.0	23.0	73.0	PA
156	2020-06-04	9	1.0	18.0	46.0	PA
157	2020-06-05	20	5.0	31.0	64.0	PA
158	2020-06-06	11	3.0	10.0	38.0	PA
159	2020-06-07	14	9.0	17.0	63.0	PA
160	2020-06-08	18	13.0	51.0	102.0	PA
161	2020-06-09	13	15.0	18.0	38.0	PA
162	2020-06-10	15	5.0	12.0	65.0	PA
163	2020-06-11	16	1.0	19.0	56.0	PA
164	2020-06-12	13	21.0	80.0	203.0	PA
165	2020-06-13	9	1.0	11.0	20.0	PA
166	2020-06-14	13	17.0	57.0	123.0	PA
167	2020-06-15	14	2.0	10.0	16.0	PA
168	2020-06-16	17	9.0	39.0	82.0	PA
169	2020-06-17	10	7.0	39.0	47.0	PA
170	2020-06-18	21	2.0	6.0	23.0	PA
171	2020-06-19	10	5.0	12.0	36.0	PA
172	2020-06-20	11	5.0	2.0	17.0	PA
173	2020-06-21	4	2.0	1.0	8.0	PA
174	2020-06-22	15	6.0	58.0	269.0	PA
175	2020-06-23	11	46.0	134.0	265.0	PA
176	2020-06-24	12	3.0	13.0	22.0	PA
177	2020-06-25	8	3.0	10.0	12.0	PA
178	2020-06-26	12	5.0	15.0	29.0	PA
179	2020-06-27	13	3.0	29.0	106.0	PA
180	2020-06-28	12	210.0	731.0	1189.0	PA
181	2020-06-29	9	6.0	6.0	30.0	PA
182	2020-06-30	12	12.0	20.0	41.0	PA
183	2020-07-01	18	6.0	34.0	63.0	PA
184	2020-07-02	21	13.0	34.0	88.0	PA
185	2020-07-03	13	6.0	9.0	26.0	PA
186	2020-07-04	7	25.0	99.0	199.0	PA
187	2020-07-05	14	3.0	5.0	22.0	PA
188	2020-07-06	8	6.0	66.0	86.0	PA
189	2020-07-07	15	11.0	9.0	35.0	PA
190	2020-07-08	11	23.0	76.0	173.0	PA
191	2020-07-09	11	7.0	14.0	23.0	PA
192	2020-07-10	11	7.0	34.0	58.0	PA
193	2020-07-11	11	3.0	3.0	13.0	PA
194	2020-07-12	12	10.0	15.0	45.0	PA
195	2020-07-13	21	29.0	19.0	78.0	PA
196	2020-07-14	23	24.0	285.0	474.0	PA
197	2020-07-15	16	19.0	84.0	162.0	PA
198	2020-07-16	22	8.0	181.0	97.0	PA
199	2020-07-17	21	5.0	19.0	45.0	PA
200	2020-07-18	27	6.0	18.0	51.0	PA
201	2020-07-19	23	0.0	3.0	9.0	PA
202	2020-07-20	21	9.0	16.0	25.0	PA
203	2020-07-21	24	10.0	50.0	106.0	PA
204	2020-07-22	29	20.0	63.0	237.0	PA
205	2020-07-23	29	10.0	11.0	55.0	PA
206	2020-07-24	30	8.0	52.0	89.0	PA
207	2020-07-25	17	9.0	48.0	80.0	PA
0	2019-12-31	1	0.0	0.0	0.0	SV
1	2020-01-01	3	0.0	2.0	2.0	SV
2	2020-01-02	2	3.0	15.0	30.0	SV
3	2020-01-03	1	1.0	0.0	1.0	SV
4	2020-01-04	4	1.0	9.0	2.0	SV
5	2020-01-05	6	2.0	6.0	8.0	SV
6	2020-01-06	5	0.0	4.0	0.0	SV
7	2020-01-07	6	0.0	4.0	8.0	SV
8	2020-01-08	9	1.0	9.0	15.0	SV
9	2020-01-09	9	8.0	17.0	36.0	SV
10	2020-01-10	7	4.0	4.0	17.0	SV
11	2020-01-11	5	1.0	2.0	2.0	SV
12	2020-01-12	6	12.0	19.0	43.0	SV
13	2020-01-13	5	4.0	13.0	31.0	SV
14	2020-01-14	14	3.0	29.0	53.0	SV
15	2020-01-15	8	7.0	4.0	11.0	SV
16	2020-01-16	6	2.0	31.0	124.0	SV
17	2020-01-17	20	38.0	44.0	53.0	SV
18	2020-01-18	14	4.0	12.0	22.0	SV
19	2020-01-19	9	9.0	75.0	96.0	SV
20	2020-01-20	23	6.0	34.0	169.0	SV
21	2020-01-21	19	12.0	8.0	41.0	SV
22	2020-01-22	6	1.0	8.0	23.0	SV
23	2020-01-23	7	31.0	77.0	259.0	SV
24	2020-01-24	8	3.0	4.0	16.0	SV
25	2020-01-25	12	4.0	0.0	2.0	SV
26	2020-01-26	4	1.0	1.0	2.0	SV
27	2020-01-27	7	5.0	16.0	56.0	SV
28	2020-01-28	13	3.0	8.0	30.0	SV
29	2020-01-29	1	1.0	29.0	21.0	SV
30	2020-01-30	4	0.0	3.0	19.0	SV
31	2020-01-31	4	2.0	7.0	20.0	SV
32	2020-02-01	1	0.0	0.0	0.0	SV
33	2020-02-02	4	13.0	19.0	124.0	SV
34	2020-02-03	4	1.0	4.0	53.0	SV
35	2020-02-04	4	7.0	18.0	79.0	SV
36	2020-02-05	8	1.0	2.0	5.0	SV
37	2020-02-06	10	2.0	2.0	21.0	SV
38	2020-02-07	3	1.0	0.0	2.0	SV
39	2020-02-08	6	12.0	67.0	162.0	SV
40	2020-02-09	7	1.0	4.0	7.0	SV
41	2020-02-10	8	3.0	3.0	3.0	SV
42	2020-02-11	9	23.0	70.0	520.0	SV
43	2020-02-12	11	3.0	20.0	28.0	SV
44	2020-02-13	5	3.0	10.0	22.0	SV
45	2020-02-14	7	2.0	4.0	7.0	SV
46	2020-02-15	3	1.0	0.0	6.0	SV
47	2020-02-16	4	0.0	0.0	5.0	SV
48	2020-02-18	11	7.0	2.0	10.0	SV
49	2020-02-19	6	4.0	17.0	68.0	SV
50	2020-02-20	10	7.0	12.0	75.0	SV
51	2020-02-21	4	2.0	5.0	42.0	SV
52	2020-02-22	6	1.0	2.0	5.0	SV
53	2020-02-23	6	2.0	6.0	15.0	SV
54	2020-02-24	5	0.0	3.0	9.0	SV
55	2020-02-25	6	5.0	21.0	36.0	SV
56	2020-02-26	2	0.0	5.0	4.0	SV
57	2020-02-27	2	0.0	8.0	22.0	SV
58	2020-02-28	1	0.0	0.0	0.0	SV
59	2020-02-29	2	2.0	0.0	0.0	SV
60	2020-03-01	1	0.0	1.0	0.0	SV
61	2020-03-02	6	2.0	17.0	55.0	SV
62	2020-03-03	3	1.0	0.0	1.0	SV
63	2020-03-04	6	5.0	8.0	45.0	SV
64	2020-03-05	8	2.0	13.0	17.0	SV
65	2020-03-06	2	0.0	1.0	2.0	SV
66	2020-03-07	6	1.0	2.0	8.0	SV
67	2020-03-08	4	4.0	20.0	97.0	SV
68	2020-03-09	1	0.0	0.0	0.0	SV
69	2020-03-10	2	0.0	2.0	5.0	SV
70	2020-03-11	3	0.0	1.0	15.0	SV
71	2020-03-12	2	0.0	4.0	7.0	SV
72	2020-03-13	2	0.0	0.0	1.0	SV
73	2020-03-14	11	21.0	77.0	319.0	SV
74	2020-03-15	4	2.0	5.0	26.0	SV
75	2020-03-16	10	7.0	3.0	18.0	SV
76	2020-03-17	12	41.0	193.0	270.0	SV
77	2020-03-18	14	62.0	274.0	1086.0	SV
78	2020-03-19	9	2.0	3.0	13.0	SV
79	2020-03-20	9	254.0	703.0	1659.0	SV
80	2020-03-21	7	1.0	5.0	18.0	SV
81	2020-03-22	20	14.0	11.0	28.0	SV
82	2020-03-23	13	2.0	0.0	6.0	SV
83	2020-03-24	11	2.0	1.0	32.0	SV
84	2020-03-25	9	5.0	11.0	25.0	SV
85	2020-03-26	16	9.0	12.0	45.0	SV
86	2020-03-27	10	6.0	1.0	8.0	SV
87	2020-03-28	8	2.0	8.0	11.0	SV
88	2020-03-29	9	0.0	5.0	10.0	SV
89	2020-03-30	13	46.0	22.0	78.0	SV
90	2020-03-31	11	9.0	11.0	20.0	SV
91	2020-04-01	6	91.0	119.0	590.0	SV
92	2020-04-02	19	23.0	135.0	301.0	SV
93	2020-04-03	9	1.0	0.0	9.0	SV
94	2020-04-04	2	0.0	0.0	1.0	SV
95	2020-04-05	7	2.0	1.0	16.0	SV
96	2020-04-06	11	12.0	122.0	217.0	SV
97	2020-04-07	16	8.0	67.0	413.0	SV
98	2020-04-08	16	24.0	56.0	214.0	SV
99	2020-04-09	9	37.0	90.0	181.0	SV
100	2020-04-10	8	3.0	9.0	17.0	SV
101	2020-04-11	5	3.0	0.0	3.0	SV
102	2020-04-12	7	2.0	1.0	8.0	SV
103	2020-04-13	14	9.0	31.0	160.0	SV
104	2020-04-14	12	9.0	22.0	41.0	SV
105	2020-04-15	9	0.0	0.0	3.0	SV
106	2020-04-16	9	8.0	20.0	130.0	SV
107	2020-04-17	10	1.0	2.0	3.0	SV
108	2020-04-18	6	2.0	0.0	7.0	SV
109	2020-04-19	5	0.0	3.0	3.0	SV
110	2020-04-20	7	3.0	4.0	14.0	SV
111	2020-04-21	11	8.0	12.0	35.0	SV
112	2020-04-22	17	7.0	25.0	71.0	SV
113	2020-04-23	9	1.0	11.0	32.0	SV
114	2020-04-24	7	652.0	267.0	912.0	SV
115	2020-04-25	21	13.0	54.0	354.0	SV
116	2020-04-26	6	104.0	50.0	172.0	SV
117	2020-04-27	20	3555.0	5251.0	10311.0	SV
118	2020-04-28	7	2.0	1.0	3.0	SV
119	2020-04-29	10	7.0	21.0	29.0	SV
120	2020-04-30	21	26.0	50.0	207.0	SV
121	2020-05-01	16	9.0	5.0	27.0	SV
122	2020-05-02	7	9.0	31.0	58.0	SV
123	2020-05-03	3	2.0	3.0	9.0	SV
124	2020-05-04	7	3.0	3.0	9.0	SV
125	2020-05-05	20	11.0	61.0	225.0	SV
126	2020-05-06	12	7.0	65.0	188.0	SV
127	2020-05-07	10	5.0	22.0	69.0	SV
128	2020-05-08	6	5.0	53.0	290.0	SV
129	2020-05-09	13	3.0	1.0	13.0	SV
130	2020-05-10	5	3.0	19.0	36.0	SV
131	2020-05-11	11	4.0	9.0	9.0	SV
132	2020-05-12	12	1.0	2.0	9.0	SV
133	2020-05-13	15	10.0	13.0	61.0	SV
134	2020-05-14	23	10.0	18.0	62.0	SV
135	2020-05-15	24	142.0	347.0	1260.0	SV
136	2020-05-16	30	18.0	136.0	283.0	SV
137	2020-05-17	21	39.0	277.0	1090.0	SV
138	2020-05-18	22	162.0	162.0	469.0	SV
139	2020-05-19	8	2.0	1.0	6.0	SV
140	2020-05-20	9	12.0	21.0	76.0	SV
141	2020-05-21	10	5.0	10.0	43.0	SV
142	2020-05-22	12	4.0	8.0	14.0	SV
