	date	empleo_volumen	replies	retweets	likes	iso_2
0	2019-12-31	1	3	19	75	AR
1	2020-01-01	9	5	2	16	AR
2	2020-01-02	37	13	146	476	AR
3	2020-01-03	48	142	1966	1438	AR
4	2020-01-04	31	30	35	120	AR
5	2020-01-05	27	11	18	66	AR
6	2020-01-06	38	25	94	449	AR
7	2020-01-07	40	56	366	666	AR
8	2020-01-08	40	79	961	2032	AR
9	2020-01-09	70	88	433	1255	AR
10	2020-01-10	69	52	504	1344	AR
11	2020-01-11	65	2922	6555	21032	AR
12	2020-01-12	44	16	174	549	AR
13	2020-01-13	59	43	466	979	AR
14	2020-01-14	58	17	55	268	AR
15	2020-01-15	63	1283	2189	6539	AR
16	2020-01-16	66	48	94	218	AR
17	2020-01-17	49	5	57	48	AR
18	2020-01-18	29	30	240	435	AR
19	2020-01-19	19	10	17	6	AR
20	2020-01-20	50	53	414	613	AR
21	2020-01-21	87	68	309	1098	AR
22	2020-01-22	61	15	74	163	AR
23	2020-01-23	49	19	39	105	AR
24	2020-01-24	40	15	53	90	AR
25	2020-01-25	34	65	508	971	AR
26	2020-01-26	23	24	100	257	AR
27	2020-01-27	46	14	85	218	AR
28	2020-01-28	47	653	2196	6429	AR
29	2020-01-29	39	24	149	450	AR
30	2020-01-30	38	9	78	89	AR
31	2020-01-31	51	15	83	124	AR
32	2020-02-01	22	7	37	35	AR
33	2020-02-02	33	23	236	411	AR
34	2020-02-03	44	9	79	96	AR
35	2020-02-04	55	31	152	275	AR
36	2020-02-05	57	44	267	596	AR
37	2020-02-06	61	37	267	605	AR
38	2020-02-07	51	75	164	382	AR
39	2020-02-08	23	15	57	184	AR
40	2020-02-09	45	20	97	284	AR
41	2020-02-10	50	14	76	108	AR
42	2020-02-11	51	301	90	207	AR
43	2020-02-12	56	1918	19286	51151	AR
44	2020-02-13	61	24	188	246	AR
45	2020-02-14	44	21	79	114	AR
46	2020-02-15	37	35	395	1543	AR
47	2020-02-16	27	19	69	268	AR
48	2020-02-17	56	21	103	91	AR
49	2020-02-18	31	12	34	98	AR
50	2020-02-19	64	38	241	542	AR
51	2020-02-20	54	47	172	332	AR
52	2020-02-21	57	54	458	950	AR
53	2020-02-22	28	13	62	99	AR
54	2020-02-23	27	11	37	71	AR
55	2020-02-24	35	10	63	80	AR
56	2020-02-25	35	326	2217	7336	AR
57	2020-02-26	39	9	70	81	AR
58	2020-02-27	52	18	171	184	AR
59	2020-02-28	59	14	67	50	AR
60	2020-02-29	42	47	459	880	AR
61	2020-03-01	40	276	1005	3467	AR
62	2020-03-02	53	9	94	60	AR
63	2020-03-03	53	11	80	93	AR
64	2020-03-04	53	72	220	852	AR
65	2020-03-05	59	16	134	94	AR
66	2020-03-06	57	19	92	160	AR
67	2020-03-07	34	10	60	457	AR
68	2020-03-08	33	31	160	260	AR
69	2020-03-09	32	17	113	186	AR
70	2020-03-10	71	20	134	130	AR
71	2020-03-11	66	19	237	770	AR
72	2020-03-12	60	30	179	304	AR
73	2020-03-13	47	18	114	152	AR
74	2020-03-14	36	17	134	394	AR
75	2020-03-15	30	50	253	1021	AR
76	2020-03-16	47	4	57	66	AR
77	2020-03-17	52	10	99	92	AR
78	2020-03-18	57	9	45	53	AR
79	2020-03-19	57	12	79	80	AR
80	2020-03-20	50	17	63	35	AR
81	2020-03-21	28	10	23	19	AR
82	2020-03-22	38	49	341	665	AR
83	2020-03-23	54	31	81	190	AR
84	2020-03-24	51	28	242	522	AR
85	2020-03-25	47	21	55	65	AR
86	2020-03-26	96	109	843	2271	AR
87	2020-03-27	80	15	106	153	AR
88	2020-03-28	55	283	1113	3670	AR
89	2020-03-29	76	147	550	1886	AR
90	2020-03-30	105	30	93	170	AR
91	2020-03-31	80	40	98	262	AR
92	2020-04-01	111	95	267	484	AR
93	2020-04-02	89	35	179	364	AR
94	2020-04-03	67	26	79	143	AR
95	2020-04-04	34	22	67	195	AR
96	2020-04-05	62	50	945	2545	AR
97	2020-04-06	65	19	89	219	AR
98	2020-04-07	64	21	82	180	AR
99	2020-04-08	61	27	97	255	AR
100	2020-04-09	60	25	136	244	AR
101	2020-04-10	75	143	210	576	AR
102	2020-04-11	35	14	18	42	AR
103	2020-04-12	59	39	135	290	AR
104	2020-04-13	75	18	75	149	AR
105	2020-04-14	106	59	188	357	AR
106	2020-04-15	74	49	235	443	AR
107	2020-04-16	100	51	415	1266	AR
108	2020-04-17	82	33	94	133	AR
109	2020-04-18	39	13	47	89	AR
110	2020-04-19	41	16	59	57	AR
111	2020-04-20	62	22	53	176	AR
112	2020-04-21	75	40	149	264	AR
113	2020-04-22	63	29	88	162	AR
114	2020-04-23	85	39	103	238	AR
115	2020-04-24	72	132	624	1691	AR
116	2020-04-25	117	248	1833	3771	AR
117	2020-04-26	73	62	99	262	AR
118	2020-04-27	87	16	60	71	AR
119	2020-04-28	66	99	80	156	AR
120	2020-04-29	64	34	92	138	AR
121	2020-04-30	70	31	113	267	AR
122	2020-05-01	67	32	142	366	AR
123	2020-05-02	69	48	443	994	AR
124	2020-05-03	68	111	453	1228	AR
125	2020-05-04	70	58	254	326	AR
126	2020-05-05	65	30	153	303	AR
127	2020-05-06	69	41	184	355	AR
128	2020-05-07	66	75	291	835	AR
129	2020-05-08	136	97	403	995	AR
130	2020-05-09	89	76	241	1015	AR
131	2020-05-10	48	13	43	79	AR
132	2020-05-11	83	800	601	1684	AR
133	2020-05-12	85	47	242	344	AR
134	2020-05-13	80	36	263	497	AR
135	2020-05-14	97	52	201	378	AR
136	2020-05-15	66	32	338	538	AR
137	2020-05-16	41	14	102	236	AR
138	2020-05-17	56	24	108	140	AR
139	2020-05-18	83	113	385	958	AR
140	2020-05-19	94	46	236	500	AR
141	2020-05-20	72	19	112	352	AR
142	2020-05-21	81	176	2842	6822	AR
143	2020-05-22	84	204	1494	1885	AR
144	2020-05-23	179	479	2600	10188	AR
145	2020-05-24	74	60	299	710	AR
146	2020-05-25	79	31	65	97	AR
147	2020-05-26	82	31	191	435	AR
148	2020-05-27	88	45	237	637	AR
149	2020-05-28	84	44	546	1643	AR
150	2020-05-29	118	110	400	945	AR
151	2020-05-30	67	24	43	338	AR
152	2020-05-31	73	54	129	351	AR
153	2020-06-01	116	69	283	652	AR
154	2020-06-02	123	47	127	255	AR
155	2020-06-03	80	30	148	298	AR
156	2020-06-04	70	46	495	1308	AR
157	2020-06-05	130	258	2756	8014	AR
158	2020-06-06	54	55	244	791	AR
159	2020-06-07	54	128	498	1017	AR
160	2020-06-08	115	163	763	1540	AR
161	2020-06-09	94	32	125	167	AR
162	2020-06-10	87	39	195	353	AR
163	2020-06-11	57	18	81	164	AR
164	2020-06-12	63	37	61	125	AR
165	2020-06-13	48	18	49	156	AR
166	2020-06-14	46	20	47	132	AR
167	2020-06-15	59	29	77	202	AR
168	2020-06-16	53	38	142	372	AR
169	2020-06-17	116	141	934	1736	AR
170	2020-06-18	106	155	971	2520	AR
171	2020-06-19	58	56	386	1067	AR
172	2020-06-20	55	38	113	456	AR
173	2020-06-21	34	17	29	104	AR
174	2020-06-22	48	20	89	254	AR
175	2020-06-23	118	62	191	519	AR
176	2020-06-24	78	33	59	150	AR
177	2020-06-25	73	44	193	630	AR
178	2020-06-26	85	37	118	261	AR
179	2020-06-27	69	78	315	952	AR
180	2020-06-28	99	57	263	515	AR
181	2020-06-29	93	39	129	273	AR
182	2020-06-30	60	43	92	341	AR
183	2020-07-01	86	57	232	573	AR
184	2020-07-02	195	265	591	1723	AR
185	2020-07-03	55	45	312	684	AR
186	2020-07-04	61	27	212	534	AR
187	2020-07-05	53	19	39	172	AR
188	2020-07-06	48	45	370	1336	AR
189	2020-07-07	81	159	812	1491	AR
190	2020-07-08	70	64	758	1476	AR
191	2020-07-09	101	69	266	659	AR
192	2020-07-10	63	26	127	321	AR
193	2020-07-11	80	110	122	626	AR
194	2020-07-12	71	238	217	2347	AR
195	2020-07-13	50	46	77	298	AR
196	2020-07-14	68	26	243	393	AR
197	2020-07-15	49	48	90	319	AR
198	2020-07-16	112	397	4658	14924	AR
199	2020-07-17	87	68	130	577	AR
200	2020-07-18	60	96	217	666	AR
201	2020-07-19	76	124	1657	4535	AR
202	2020-07-20	63	45	143	356	AR
203	2020-07-21	64	126	486	1107	AR
204	2020-07-22	69	45	112	426	AR
205	2020-07-23	51	89	441	1193	AR
206	2020-07-24	57	112	445	1437	AR
207	2020-07-25	34	31	128	704	AR
