date	empleo_volumen	replies	retweets	likes	iso_2
2020-01-01	3	2	0	1	BO
2020-01-02	6	0	13	13	BO
2020-01-03	5	3	0	1	BO
2020-01-04	3	0	2	0	BO
2020-01-05	2	0	2	1	BO
2020-01-06	4	3	6	8	BO
2020-01-07	5	1	1	2	BO
2020-01-08	8	8	49	60	BO
2020-01-09	8	4	1	5	BO
2020-01-10	5	0	2	5	BO
2020-01-11	4	2	4	8	BO
2020-01-12	2	2	0	1	BO
2020-01-13	11	17	6	20	BO
2020-01-14	5	4	2	24	BO
2020-01-15	7	1	1	3	BO
2020-01-16	4	1	0	2	BO
2020-01-17	10	14	119	121	BO
2020-01-18	5	1	8	2	BO
2020-01-19	3	2	12	17	BO
2020-01-20	11	4	4	19	BO
2020-01-21	8	3	10	22	BO
2020-01-22	9	2	24	70	BO
2020-01-23	13	11	111	193	BO
2020-01-24	7	0	10	16	BO
2020-01-25	6	3	5	9	BO
2020-01-26	10	5	5	7	BO
2020-01-27	2	1	0	3	BO
2020-01-28	9	3	6	22	BO
2020-01-29	9	3	1	8	BO
2020-01-30	3	2	0	6	BO
2020-01-31	7	2	6	9	BO
2020-02-01	6	6	3	35	BO
2020-02-02	1	9	111	134	BO
2020-02-03	13	4	38	53	BO
2020-02-04	9	2	16	44	BO
2020-02-05	10	4	2	21	BO
2020-02-06	5	4	100	112	BO
2020-02-07	5	1	2	4	BO
2020-02-08	6	2	0	3	BO
2020-02-09	7	2	0	5	BO
2020-02-10	9	4	5	14	BO
2020-02-11	10	287	44	455	BO
2020-02-12	13	4	5	28	BO
2020-02-13	5	0	2	5	BO
2020-02-14	5	2	3	8	BO
2020-02-15	5	0	0	0	BO
2020-02-16	7	4	4	17	BO
2020-02-17	4	75	226	619	BO
2020-02-18	5	3	16	19	BO
2020-02-19	8	2	23	40	BO
2020-02-20	6	0	3	5	BO
2020-02-21	5	1	0	7	BO
2020-02-22	4	1	0	1	BO
2020-02-23	1	0	0	0	BO
2020-02-24	1	1	0	0	BO
2020-02-25	4	1	0	2	BO
2020-02-26	2	0	0	5	BO
2020-02-27	3	0	1	7	BO
2020-02-28	3	2	3	11	BO
2020-02-29	8	10	113	203	BO
2020-03-01	5	2	2	3	BO
2020-03-02	6	3	3	9	BO
2020-03-03	1	3	126	188	BO
2020-03-04	10	0	10	18	BO
2020-03-05	7	1	24	28	BO
2020-03-06	5	1	2	13	BO
2020-03-07	5	2	9	20	BO
2020-03-08	2	7	62	47	BO
2020-03-09	6	0	3	10	BO
2020-03-10	2	2	0	6	BO
2020-03-11	6	3	0	4	BO
2020-03-12	2	1	0	2	BO
2020-03-13	3	2	23	34	BO
2020-03-14	2	1	0	2	BO
2020-03-15	2	0	0	2	BO
2020-03-16	4	2	5	8	BO
2020-03-17	8	34	41	151	BO
2020-03-18	3	1	0	1	BO
2020-03-19	6	1	4	10	BO
2020-03-20	8	6	19	35	BO
2020-03-21	4	0	0	0	BO
2020-03-22	4	0	5	6	BO
2020-03-23	2	0	0	0	BO
2020-03-24	3	3	4	11	BO
2020-03-25	5	3	0	21	BO
2020-03-26	6	3	0	2	BO
2020-03-27	4	0	0	7	BO
2020-03-28	5	0	2	3	BO
2020-03-29	4	12	10	55	BO
2020-03-30	5	0	1	3	BO
2020-03-31	7	69	68	230	BO
2020-04-01	9	2	2	10	BO
2020-04-02	14	9	26	62	BO
2020-04-03	4	2	3	6	BO
2020-04-04	8	30	31	143	BO
2020-04-05	2	31	892	2425	BO
2020-04-06	6	2	0	6	BO
2020-04-07	11	140	16	104	BO
2020-04-08	11	5	8	43	BO
2020-04-09	8	8	53	76	BO
2020-04-10	4	5	5	9	BO
2020-04-11	6	8	4	37	BO
2020-04-12	9	5	8	21	BO
2020-04-13	2	2	2	7	BO
2020-04-14	34	38	102	217	BO
2020-04-15	15	3	1	32	BO
2020-04-16	13	1	3	13	BO
2020-04-17	7	3	3	18	BO
2020-04-18	9	4	3	21	BO
2020-04-19	9	2	10	39	BO
2020-04-20	7	13	5	58	BO
2020-04-21	4	3	6	23	BO
2020-04-22	7	0	4	2	BO
2020-04-23	9	3	27	66	BO
2020-04-24	14	1	5	15	BO
2020-04-25	10	2	1	14	BO
2020-04-26	9	5	12	35	BO
2020-04-27	18	6	4	29	BO
2020-04-28	5	0	0	0	BO
2020-04-29	11	31	58	187	BO
2020-04-30	22	17	50	69	BO
2020-05-01	38	53	23	242	BO
2020-05-02	16	5	13	31	BO
2020-05-03	7	4	2	13	BO
2020-05-04	8	1	8	33	BO
2020-05-05	4	2	3	23	BO
2020-05-06	8	2	2	3	BO
2020-05-07	11	1	15	22	BO
2020-05-08	20	95	60	230	BO
2020-05-09	8	2	18	25	BO
2020-05-10	20	907	2783	5097	BO
2020-05-11	8	15	34	126	BO
2020-05-12	13	8	5	16	BO
2020-05-13	15	66	250	721	BO
2020-05-14	10	2	4	8	BO
2020-05-15	14	5	7	9	BO
2020-05-16	24	48	109	401	BO
2020-05-17	9	1	0	0	BO
2020-05-18	4	5	3	34	BO
2020-05-19	10	159	75	219	BO
2020-05-20	8	3	25	35	BO
2020-05-21	5	2	5	6	BO
2020-05-22	20	57	170	496	BO
2020-05-23	14	5	4	13	BO
2020-05-24	5	0	30	32	BO
2020-05-25	10	0	2	18	BO
2020-05-26	17	4	9	10	BO
2020-05-27	7	0	4	7	BO
2020-05-28	12	2	2	8	BO
2020-05-29	9	1	7	8	BO
2020-05-30	8	4	0	1	BO
2020-05-31	7	3	0	1	BO
2020-06-01	10	3	96	90	BO
2020-06-02	24	1	11	16	BO
2020-06-03	7	1	7	44	BO
2020-06-04	10	4	7	33	BO
2020-06-05	15	7	11	36	BO
2020-06-06	9	3	6	10	BO
2020-06-07	20	30	113	146	BO
2020-06-08	30	189	59	342	BO
2020-06-09	10	91	318	671	BO
2020-06-10	10	5	6	8	BO
2020-06-11	10	49	153	338	BO
2020-06-12	4	2	37	62	BO
2020-06-13	24	1	4	18	BO
2020-06-14	7	1	0	7	BO
2020-06-15	7	4	0	6	BO
2020-06-16	9	23	8	52	BO
2020-06-17	14	5	4	9	BO
2020-06-18	8	1	3	13	BO
2020-06-19	13	35	122	362	BO
2020-06-20	2	1	0	1	BO
2020-06-21	7	5	6	20	BO
2020-06-22	9	19	81	267	BO
2020-06-23	24	9	70	99	BO
2020-06-24	63	39	36	107	BO
2020-06-25	28	30	48	109	BO
2020-06-26	13	9	4	20	BO
2020-06-27	18	5	12	50	BO
2020-06-28	23	214	678	1099	BO
2020-06-29	33	48	75	209	BO
2020-06-30	30	3	46	71	BO
2020-07-01	38	34	33	117	BO
2020-07-02	36	22	20	74	BO
2020-07-03	29	21	232	413	BO
2020-07-04	5	2	2	2	BO
2020-07-05	16	39	23	99	BO
2020-07-06	20	4	50	149	BO
2020-07-07	24	112	35	218	BO
2020-07-08	9	3	10	17	BO
2020-07-09	12	4	9	31	BO
2020-07-10	14	471	215	1501	BO
2020-07-11	5	0	0	1	BO
2020-07-12	16	2	0	5	BO
2020-07-13	41	4	11	42	BO
2020-07-14	22	1	29	40	BO
2020-07-15	64	20	35	126	BO
2020-07-16	55	4	7	27	BO
2020-07-17	24	4	61	44	BO
2020-07-18	31	3	49	40	BO
2020-07-19	39	3	10	21	BO
2020-07-20	27	7	38	106	BO
