date	empleo_volumen	replies	retweets	likes	iso_2
2019-12-31	13	1	29	55	CO
2020-01-01	27	13	25	73	CO
2020-01-02	40	38	377	798	CO
2020-01-03	43	17	82	184	CO
2020-01-04	63	43	215	424	CO
2020-01-05	82	122	69	250	CO
2020-01-06	158	102	232	620	CO
2020-01-07	126	55	155	459	CO
2020-01-08	77	42	58	293	CO
2020-01-09	96	90	273	738	CO
2020-01-10	484	590	4466	12567	CO
2020-01-11	159	937	650	1488	CO
2020-01-12	84	94	1404	2174	CO
2020-01-13	135	120	1427	2344	CO
2020-01-14	101	27	113	352	CO
2020-01-15	90	58	743	1669	CO
2020-01-16	93	54	356	764	CO
2020-01-17	85	89	1123	2278	CO
2020-01-18	61	31	175	343	CO
2020-01-19	50	21	49	203	CO
2020-01-20	20	12	27	50	CO
2020-01-21	99	45	241	354	CO
2020-01-22	109	715	1859	6860	CO
2020-01-23	158	243	411	1242	CO
2020-01-24	95	71	375	506	CO
2020-01-25	57	23	48	87	CO
2020-01-26	55	18	34	114	CO
2020-01-27	88	160	402	1217	CO
2020-01-28	72	43	136	287	CO
2020-01-29	106	183	477	803	CO
2020-01-30	107	54	165	671	CO
2020-01-31	419	2462	6146	19319	CO
2020-02-01	178	236	1136	1961	CO
2020-02-02	74	53	205	325	CO
2020-02-03	208	172	588	1320	CO
2020-02-04	66	32	102	221	CO
2020-02-05	224	103	857	1581	CO
2020-02-06	118	41	262	435	CO
2020-02-07	76	19	70	245	CO
2020-02-08	57	75	114	342	CO
2020-02-09	73	46	137	398	CO
2020-02-10	37	10	48	152	CO
2020-02-12	15	3	13	22	CO
2020-02-13	78	52	157	600	CO
2020-02-14	261	88	208	701	CO
2020-02-15	98	22	114	147	CO
2020-02-16	27	6	40	85	CO
2020-02-17	141	47	129	451	CO
2020-02-18	71	300	589	1807	CO
2020-02-19	79	44	241	648	CO
2020-02-20	94	253	853	1160	CO
2020-02-21	56	9	60	106	CO
2020-02-22	52	73	300	575	CO
2020-02-23	38	10	44	122	CO
2020-02-24	61	127	1520	4052	CO
2020-02-25	74	46	103	323	CO
2020-02-26	69	134	1274	3122	CO
2020-02-27	59	24	130	246	CO
2020-02-28	174	553	2178	4638	CO
2020-02-29	321	101	518	1108	CO
2020-03-01	67	96	1391	3063	CO
2020-03-02	54	21	62	111	CO
2020-03-03	153	80	426	937	CO
2020-03-04	96	100	1386	2899	CO
2020-03-05	91	34	173	530	CO
2020-03-06	71	272	2253	4424	CO
2020-03-07	47	11	20	69	CO
2020-03-08	71	53	341	837	CO
2020-03-09	105	151	2855	5916	CO
2020-03-10	114	36	95	284	CO
2020-03-11	71	100	116	402	CO
2020-03-12	100	2590	8119	18860	CO
2020-03-13	65	31	41	131	CO
2020-03-14	55	35	56	160	CO
2020-03-15	70	29	66	189	CO
2020-03-16	103	34	102	297	CO
2020-03-17	82	110	480	1519	CO
2020-03-18	27	6	6	19	CO
