date	empleo_volumen	replies	retweets	likes	iso_2
2020-01-02	2	0	1	8	DO
2020-01-03	3	1	0	0	DO
2020-01-04	2	13	13	25	DO
2020-01-05	2	0	0	0	DO
2020-01-06	1	0	0	0	DO
2020-01-07	1	0	1	1	DO
2020-01-08	1	0	0	0	DO
2020-01-10	1	0	0	0	DO
2020-01-12	3	2	4	28	DO
2020-01-13	2	0	0	0	DO
2020-01-14	2	0	0	1	DO
2020-01-15	3	1	0	0	DO
2020-01-18	1	0	0	0	DO
2020-01-19	2	0	0	1	DO
2020-01-20	2	1	11	26	DO
2020-01-23	1	0	0	0	DO
2020-01-24	1	0	2	3	DO
2020-01-25	2	0	0	0	DO
2020-01-28	1	0	2	2	DO
2020-01-30	1	0	0	1	DO
2020-01-31	2	1	10	28	DO
2020-02-01	2	2	0	5	DO
2020-02-04	2	5	8	15	DO
2020-02-05	1	0	0	3	DO
2020-02-06	2	1	0	0	DO
2020-02-09	4	0	1	2	DO
2020-02-11	1	0	0	0	DO
2020-02-13	1	0	0	2	DO
2020-02-15	1	0	0	0	DO
2020-02-17	2	0	0	1	DO
2020-02-19	2	1	0	3	DO
2020-02-21	6	3	6	53	DO
2020-02-22	4	2	3	9	DO
2020-02-23	7	0	1	3	DO
2020-02-24	2	0	0	1	DO
2020-02-25	3	0	0	1	DO
2020-02-26	3	1	0	0	DO
2020-02-27	47	7	99	108	DO
2020-02-28	2	0	1	0	DO
2020-02-29	1	0	0	0	DO
2020-03-01	1	0	0	1	DO
2020-03-02	18	4	60	45	DO
2020-03-03	18	11	65	90	DO
2020-03-04	13	0	3	3	DO
2020-03-05	34	20	49	88	DO
2020-03-06	13	0	6	15	DO
2020-03-07	1	0	0	0	DO
2020-03-09	13	0	0	0	DO
2020-03-10	46	0	2	4	DO
2020-03-11	22	1	0	0	DO
2020-03-12	32	0	0	0	DO
2020-03-13	1	0	0	0	DO
2020-03-14	3	1	2	12	DO
2020-03-16	1	0	0	0	DO
2020-03-19	2	0	0	0	DO
2020-03-20	3	2	2	16	DO
2020-03-21	1	0	0	1	DO
2020-03-22	2	1	2	7	DO
2020-03-24	1	0	0	0	DO
2020-03-25	2	6	8	27	DO
2020-03-26	13	0	0	1	DO
