date	empleo_volumen	replies	retweets	likes	iso_2
2019-12-31	2	1	0	0	EC
2020-01-01	5	2	3	10	EC
2020-01-02	73	216	1258	1205	EC
2020-01-03	53	49	167	269	EC
2020-01-04	44	32	263	366	EC
2020-01-05	32	19	120	97	EC
2020-01-06	33	13	102	177	EC
2020-01-07	33	142	463	638	EC
2020-01-08	34	63	1497	2147	EC
2020-01-09	23	12	102	95	EC
2020-01-10	36	6	28	65	EC
2020-01-11	22	4	23	30	EC
2020-01-12	22	22	187	517	EC
2020-01-13	34	38	361	596	EC
2020-01-14	35	463	163	605	EC
2020-01-15	32	144	202	399	EC
2020-01-16	68	145	643	644	EC
2020-01-17	113	116	922	1128	EC
2020-01-18	47	30	182	210	EC
2020-01-19	22	6	24	48	EC
2020-01-20	43	180	798	857	EC
2020-01-21	75	141	543	652	EC
2020-01-22	38	138	451	514	EC
2020-01-23	57	154	808	892	EC
2020-01-24	51	45	214	342	EC
2020-01-25	25	32	216	522	EC
2020-01-26	24	87	180	299	EC
2020-01-27	28	15	35	51	EC
2020-01-28	56	199	876	1310	EC
2020-01-29	37	114	144	415	EC
2020-01-30	40	61	124	245	EC
2020-01-31	60	57	471	533	EC
2020-02-01	20	267	488	1017	EC
2020-02-02	25	15	121	159	EC
2020-02-03	23	9	103	125	EC
2020-02-04	32	15	140	199	EC
2020-02-05	28	6	30	50	EC
2020-02-06	28	13	112	153	EC
2020-02-07	24	16	257	269	EC
2020-02-08	19	9	71	109	EC
2020-02-09	14	54	117	226	EC
2020-02-10	17	8	53	77	EC
2020-02-11	24	10	148	304	EC
2020-02-12	72	445	1605	2704	EC
2020-02-13	91	263	1278	1654	EC
2020-02-14	26	5	119	132	EC
2020-02-15	16	4	11	26	EC
2020-02-16	10	23	171	270	EC
2020-02-17	36	91	349	478	EC
2020-02-18	37	621	871	1740	EC
2020-02-19	45	63	142	484	EC
2020-02-20	41	61	324	454	EC
2020-02-21	23	53	389	726	EC
2020-02-22	9	10	66	110	EC
2020-02-23	17	32	302	418	EC
2020-02-24	16	7	50	105	EC
2020-02-25	12	9	44	73	EC
2020-02-26	31	23	345	511	EC
2020-02-27	28	87	354	456	EC
2020-02-28	38	847	348	534	EC
2020-02-29	21	8	31	72	EC
2020-03-01	11	1	13	17	EC
2020-03-02	13	5	107	183	EC
2020-03-03	14	3	69	87	EC
2020-03-04	24	12	141	223	EC
2020-03-05	40	34	392	563	EC
2020-03-06	34	11	172	239	EC
2020-03-07	16	3	33	40	EC
2020-03-08	20	13	63	78	EC
2020-03-09	32	72	456	881	EC
2020-03-10	50	53	607	1003	EC
2020-03-11	39	47	358	481	EC
2020-03-12	23	4	31	34	EC
2020-03-13	22	24	90	185	EC
2020-03-14	13	5	17	35	EC
2020-03-15	14	4	15	24	EC
2020-03-16	5	0	16	21	EC
2020-03-17	35	20	235	336	EC
2020-03-18	20	12	118	187	EC
2020-03-19	22	5	11	30	EC
2020-03-20	31	18	153	276	EC
2020-03-21	2	2	0	0	EC
2020-03-22	19	6	6	17	EC
2020-03-23	21	12	243	289	EC
2020-03-24	24	7	15	45	EC
2020-03-25	23	18	30	73	EC
2020-03-26	18	6	12	41	EC
2020-03-27	16	7	31	53	EC
2020-03-28	14	5	2	14	EC
2020-03-29	22	212	1078	2774	EC
2020-03-30	17	19	74	141	EC
2020-03-31	24	20	118	261	EC
2020-04-01	38	32	128	398	EC
2020-04-02	39	57	962	500	EC
2020-04-03	25	37	83	198	EC
2020-04-04	35	51	307	407	EC
2020-04-05	21	33	48	124	EC
2020-04-06	30	5	12	50	EC
2020-04-07	41	13	85	179	EC
2020-04-08	29	10	62	89	EC
2020-04-09	24	73	569	502	EC
2020-04-10	75	519	1008	1595	EC
2020-04-11	88	148	680	802	EC
2020-04-12	24	23	311	522	EC
2020-04-13	43	21	116	156	EC
2020-04-14	58	64	468	721	EC
2020-04-15	45	21	29	63	EC
2020-04-16	56	182	1218	2070	EC
2020-04-17	8	2	2	14	EC
2020-04-18	23	4	33	38	EC
2020-04-19	23	31	80	153	EC
2020-04-20	34	16	78	203	EC
2020-04-21	55	230	1731	2611	EC
2020-04-22	36	24	161	191	EC
2020-04-23	39	20	208	312	EC
2020-04-24	25	22	94	115	EC
2020-04-25	33	55	78	156	EC
2020-04-26	15	7	48	32	EC
2020-04-27	29	8	44	68	EC
2020-04-28	28	40	350	585	EC
2020-04-29	32	62	290	707	EC
2020-04-30	46	78	647	1064	EC
2020-05-01	114	135	998	1660	EC
2020-05-02	58	64	827	1571	EC
2020-05-03	47	318	638	2455	EC
2020-05-04	54	58	503	696	EC
2020-05-05	38	58	102	354	EC
2020-05-06	90	91	1175	1657	EC
2020-05-07	78	1421	1479	2138	EC
2020-05-08	50	25	268	443	EC
2020-05-09	29	9	48	57	EC
2020-05-10	22	3	18	37	EC
2020-05-11	38	32	256	334	EC
2020-05-12	44	37	93	251	EC
2020-05-13	52	40	450	619	EC
2020-05-14	65	36	385	471	EC
2020-05-15	51	28	230	318	EC
2020-05-16	36	7	41	88	EC
2020-05-17	42	113	33	77	EC
2020-05-18	48	94	393	519	EC
2020-05-19	160	592	1623	2838	EC
2020-05-20	118	64	1301	1610	EC
2020-05-21	96	72	435	712	EC
2020-05-22	89	53	492	692	EC
2020-05-23	48	13	355	439	EC
2020-05-24	132	59	401	705	EC
2020-05-25	104	213	1139	1802	EC
2020-05-26	101	29	436	540	EC
2020-05-27	75	106	551	791	EC
2020-05-28	61	29	283	461	EC
2020-05-29	43	22	157	299	EC
2020-05-30	32	4	48	84	EC
2020-05-31	26	7	48	98	EC
2020-06-01	52	23	244	289	EC
2020-06-02	44	22	136	193	EC
2020-06-03	40	55	161	466	EC
2020-06-04	53	7	117	201	EC
2020-06-05	31	57	185	329	EC
2020-06-06	22	1086	2080	2325	EC
2020-06-07	18	7	79	99	EC
2020-06-08	34	219	353	988	EC
2020-06-09	35	5	33	78	EC
2020-06-10	36	103	560	1230	EC
2020-06-11	35	116	1214	868	EC
2020-06-12	40	55	543	424	EC
2020-06-13	30	21	257	255	EC
2020-06-14	75	29	209	236	EC
2020-06-15	34	22	314	519	EC
2020-06-16	39	13	113	193	EC
2020-06-17	37	61	882	1063	EC
2020-06-18	51	173	596	905	EC
2020-06-19	42	27	320	527	EC
2020-06-20	31	5	73	96	EC
2020-06-21	30	12	26	51	EC
2020-06-22	59	258	625	1306	EC
2020-06-23	42	15	316	413	EC
2020-06-24	60	45	145	303	EC
2020-06-25	65	1574	3276	3798	EC
2020-06-26	55	17	70	129	EC
2020-06-27	66	217	703	1319	EC
2020-06-28	34	190	688	1093	EC
2020-06-29	37	438	620	1944	EC
2020-06-30	32	8	106	184	EC
2020-07-01	46	251	290	855	EC
2020-07-02	47	20	240	317	EC
2020-07-03	35	14	62	118	EC
2020-07-04	32	109	328	619	EC
2020-07-05	29	534	330	1514	EC
2020-07-06	51	141	649	1536	EC
2020-07-07	52	145	444	969	EC
2020-07-08	33	156	234	499	EC
2020-07-09	35	104	168	471	EC
2020-07-10	43	18	157	195	EC
2020-07-11	22	8	69	107	EC
2020-07-12	12	4	32	84	EC
2020-07-13	38	108	323	694	EC
2020-07-14	75	41	310	428	EC
2020-07-15	77	127	501	705	EC
2020-07-16	90	69	546	877	EC
2020-07-17	74	63	827	1372	EC
2020-07-18	25	9	80	149	EC
2020-07-19	24	16	138	163	EC
2020-07-20	28	33	188	189	EC
