date	empleo_volumen	replies	retweets	likes	iso_2
2019-12-31	29	6708.0	3588.0	25453.0	MX
2020-01-01	108	34.0	115.0	235.0	MX
2020-01-02	116	26.0	53.0	198.0	MX
2020-01-03	123	27.0	105.0	362.0	MX
2020-01-04	110	572.0	2308.0	9199.0	MX
2020-01-05	107	31.0	90.0	142.0	MX
2020-01-06	136	15.0	53.0	208.0	MX
2020-01-07	106	68.0	567.0	932.0	MX
2020-01-08	123	27.0	225.0	374.0	MX
2020-01-09	141	16.0	153.0	263.0	MX
2020-01-10	129	20.0	149.0	227.0	MX
2020-01-11	110	7.0	16.0	65.0	MX
2020-01-12	138	60.0	286.0	583.0	MX
2020-01-13	231	44.0	547.0	676.0	MX
2020-01-14	177	122.0	807.0	1748.0	MX
2020-01-15	203	61.0	756.0	1245.0	MX
2020-01-16	204	97.0	698.0	1324.0	MX
2020-01-17	232	181.0	1069.0	1703.0	MX
2020-01-18	193	50.0	227.0	611.0	MX
2020-01-19	154	75.0	716.0	1214.0	MX
2020-01-20	179	1467.0	4859.0	18473.0	MX
2020-01-21	88	25.0	179.0	251.0	MX
2020-01-22	221	541.0	4442.0	12434.0	MX
2020-01-23	197	79.0	294.0	760.0	MX
2020-01-24	190	73.0	437.0	742.0	MX
2020-01-25	141	38.0	195.0	342.0	MX
2020-01-26	116	64.0	814.0	1575.0	MX
2020-01-27	138	80.0	278.0	668.0	MX
2020-01-28	148	28.0	129.0	295.0	MX
2020-01-29	127	22.0	175.0	347.0	MX
2020-01-30	45	24.0	61.0	130.0	MX
2020-01-31	162	53.0	290.0	624.0	MX
2020-02-01	96	35.0	84.0	338.0	MX
2020-02-02	93	22.0	209.0	602.0	MX
2020-02-03	100	110.0	513.0	607.0	MX
2020-02-04	135	20.0	122.0	232.0	MX
2020-02-05	153	30.0	211.0	412.0	MX
2020-02-06	133	59.0	320.0	936.0	MX
2020-02-07	123	175.0	825.0	3045.0	MX
2020-02-08	109	52.0	295.0	610.0	MX
2020-02-09	91	10.0	105.0	232.0	MX
2020-02-10	122	18.0	76.0	186.0	MX
2020-02-11	141	48.0	109.0	304.0	MX
