	date	empleo_volumen	replies	retweets	likes	iso_2
0	2019-12-31	4	0	2	5	PA
1	2020-01-01	3	2	0	2	PA
2	2020-01-02	9	31	164	474	PA
3	2020-01-03	11	36	41	83	PA
4	2020-01-04	2	0	2	6	PA
5	2020-01-05	7	4	6	17	PA
6	2020-01-06	6	1	4	4	PA
7	2020-01-07	24	18	53	112	PA
8	2020-01-08	11	38	95	424	PA
9	2020-01-09	17	67	177	630	PA
10	2020-01-10	14	4	41	75	PA
11	2020-01-11	10	2	9	22	PA
12	2020-01-12	16	9	26	42	PA
13	2020-01-13	10	2	3	7	PA
14	2020-01-14	15	1	6	77	PA
15	2020-01-15	15	9	32	104	PA
16	2020-01-16	14	7	156	422	PA
17	2020-01-17	10	9	4	22	PA
18	2020-01-18	7	7	128	166	PA
19	2020-01-19	16	19	73	131	PA
20	2020-01-20	15	49	125	349	PA
21	2020-01-21	6	6	78	105	PA
22	2020-01-22	11	8	25	44	PA
23	2020-01-23	11	5	3	13	PA
24	2020-01-24	9	2	10	13	PA
25	2020-01-25	15	3	10	18	PA
26	2020-01-26	7	0	2	6	PA
27	2020-01-27	16	1	0	5	PA
28	2020-01-28	7	1	11	23	PA
29	2020-01-29	20	6	24	49	PA
30	2020-01-30	18	11	23	75	PA
31	2020-01-31	14	7	16	23	PA
32	2020-02-01	5	0	2	13	PA
33	2020-02-02	3	0	1	5	PA
34	2020-02-03	5	1	2	3	PA
35	2020-02-04	10	9	30	45	PA
36	2020-02-05	7	5	48	99	PA
37	2020-02-06	11	5	5	24	PA
38	2020-02-07	12	7	34	64	PA
39	2020-02-08	11	1	0	5	PA
40	2020-02-09	11	41	36	102	PA
41	2020-02-10	21	6	15	42	PA
42	2020-02-11	40	343	593	1734	PA
43	2020-02-12	45	85	161	544	PA
44	2020-02-13	18	8	18	55	PA
45	2020-02-14	9	28	99	292	PA
46	2020-02-15	11	6	17	26	PA
47	2020-02-16	16	39	102	358	PA
48	2020-02-17	24	7	50	122	PA
49	2020-02-18	18	21	44	124	PA
50	2020-02-19	15	8	159	290	PA
51	2020-02-20	17	8	35	191	PA
52	2020-02-21	8	1	11	44	PA
53	2020-02-22	3	0	1	3	PA
54	2020-02-23	12	0	7	11	PA
55	2020-02-24	3	0	0	1	PA
56	2020-02-25	4	0	5	6	PA
57	2020-02-26	8	3	10	36	PA
58	2020-02-27	7	103	71	145	PA
59	2020-02-28	4	4	0	1	PA
60	2020-02-29	5	0	0	4	PA
61	2020-03-01	4	0	2	5	PA
62	2020-03-02	10	7	8	19	PA
63	2020-03-03	15	5	3	15	PA
64	2020-03-04	12	5	3	18	PA
65	2020-03-05	17	4	28	53	PA
66	2020-03-06	18	15	21	77	PA
67	2020-03-07	7	2	35	46	PA
68	2020-03-08	7	4	4	16	PA
69	2020-03-09	8	3	4	10	PA
70	2020-03-10	10	3	13	27	PA
71	2020-03-11	6	1	7	15	PA
72	2020-03-12	6	3	15	34	PA
73	2020-03-13	13	6	3	13	PA
74	2020-03-14	4	5	3	7	PA
75	2020-03-15	6	2	0	7	PA
76	2020-03-16	6	1	6	17	PA
77	2020-03-17	9	2	4	7	PA
78	2020-03-18	6	3	10	31	PA
79	2020-03-19	7	10	23	43	PA
80	2020-03-20	10	3	16	34	PA
81	2020-03-21	6	1	3	10	PA
82	2020-03-22	9	1	6	17	PA
83	2020-03-23	7	2	0	5	PA
84	2020-03-24	9	6	18	49	PA
85	2020-03-25	11	3	2	21	PA
86	2020-03-26	10	37	66	129	PA
87	2020-03-27	13	9	30	47	PA
88	2020-03-28	12	5	3	14	PA
89	2020-03-29	17	8	13	28	PA
90	2020-03-30	11	10	109	190	PA
91	2020-03-31	12	4	14	35	PA
92	2020-04-01	17	19	53	109	PA
93	2020-04-02	14	12	18	49	PA
94	2020-04-03	9	10	47	172	PA
95	2020-04-04	7	3	10	12	PA
96	2020-04-05	10	2	6	15	PA
97	2020-04-06	17	22	33	63	PA
98	2020-04-07	8	2	6	17	PA
99	2020-04-08	14	55	100	436	PA
100	2020-04-09	21	51	48	113	PA
101	2020-04-10	13	5	15	50	PA
102	2020-04-11	10	4	4	19	PA
103	2020-04-12	7	2	2	10	PA
104	2020-04-13	11	8	12	19	PA
105	2020-04-14	14	8	3	17	PA
106	2020-04-15	30	19	19	54	PA
107	2020-04-16	14	43	151	221	PA
108	2020-04-17	8	14	47	49	PA
109	2020-04-18	10	4	18	41	PA
110	2020-04-19	15	6	8	26	PA
111	2020-04-20	14	1	11	47	PA
112	2020-04-21	17	31	89	156	PA
113	2020-04-22	21	6	20	41	PA
114	2020-04-23	24	12	68	109	PA
115	2020-04-24	26	77	107	203	PA
116	2020-04-25	9	2	3	16	PA
117	2020-04-26	10	16	55	75	PA
118	2020-04-27	23	14	16	55	PA
119	2020-04-28	20	9	28	35	PA
120	2020-04-29	26	9	18	47	PA
121	2020-04-30	28	18	153	339	PA
122	2020-05-01	23	14	40	124	PA
123	2020-05-02	13	2	10	22	PA
124	2020-05-03	10	3	3	13	PA
125	2020-05-04	9	5	3	31	PA
126	2020-05-05	9	3	2	5	PA
127	2020-05-06	12	3	12	24	PA
128	2020-05-07	14	5	4	10	PA
129	2020-05-08	15	10	26	45	PA
130	2020-05-09	7	6	40	81	PA
131	2020-05-10	12	11	21	36	PA
132	2020-05-11	16	11	28	74	PA
133	2020-05-12	26	95	196	415	PA
134	2020-05-13	17	25	25	33	PA
135	2020-05-14	11	35	104	351	PA
136	2020-05-15	26	13	25	118	PA
137	2020-05-16	7	5	17	41	PA
138	2020-05-17	14	7	21	49	PA
139	2020-05-18	14	1	1	3	PA
140	2020-05-19	24	111	272	777	PA
141	2020-05-20	19	25	34	56	PA
142	2020-05-21	17	3	2	20	PA
143	2020-05-22	13	17	8	42	PA
144	2020-05-23	10	8	7	55	PA
145	2020-05-24	11	28	78	125	PA
146	2020-05-25	5	81	106	319	PA
147	2020-05-26	13	8	22	51	PA
148	2020-05-27	5	1	11	14	PA
149	2020-05-28	13	5	12	17	PA
150	2020-05-29	12	6	38	50	PA
151	2020-05-30	5	45	98	221	PA
152	2020-05-31	16	10	16	36	PA
153	2020-06-01	12	7	51	75	PA
154	2020-06-02	10	4	5	23	PA
155	2020-06-03	10	6	23	73	PA
156	2020-06-04	9	1	18	46	PA
157	2020-06-05	20	5	31	64	PA
158	2020-06-06	11	3	10	38	PA
159	2020-06-07	14	9	17	63	PA
160	2020-06-08	18	13	51	102	PA
161	2020-06-09	13	15	18	38	PA
162	2020-06-10	15	5	12	65	PA
163	2020-06-11	16	1	19	56	PA
164	2020-06-12	13	21	80	203	PA
165	2020-06-13	9	1	11	20	PA
166	2020-06-14	13	17	57	123	PA
167	2020-06-15	14	2	10	16	PA
168	2020-06-16	17	9	39	82	PA
169	2020-06-17	10	7	39	47	PA
170	2020-06-18	21	2	6	23	PA
171	2020-06-19	10	5	12	36	PA
172	2020-06-20	11	5	2	17	PA
173	2020-06-21	4	2	1	8	PA
174	2020-06-22	15	6	58	269	PA
175	2020-06-23	11	46	134	265	PA
176	2020-06-24	12	3	13	22	PA
177	2020-06-25	8	3	10	12	PA
178	2020-06-26	12	5	15	29	PA
179	2020-06-27	13	3	29	106	PA
180	2020-06-28	12	210	731	1189	PA
181	2020-06-29	9	6	6	30	PA
182	2020-06-30	12	12	20	41	PA
183	2020-07-01	18	6	34	63	PA
184	2020-07-02	21	13	34	88	PA
185	2020-07-03	13	6	9	26	PA
186	2020-07-04	7	25	99	199	PA
187	2020-07-05	14	3	5	22	PA
188	2020-07-06	8	6	66	86	PA
189	2020-07-07	15	11	9	35	PA
190	2020-07-08	11	23	76	173	PA
191	2020-07-09	11	7	14	23	PA
192	2020-07-10	11	7	34	58	PA
193	2020-07-11	11	3	3	13	PA
194	2020-07-12	12	10	15	45	PA
195	2020-07-13	21	29	19	78	PA
196	2020-07-14	23	24	285	474	PA
197	2020-07-15	16	19	84	162	PA
198	2020-07-16	22	8	181	97	PA
199	2020-07-17	21	5	19	45	PA
200	2020-07-18	27	6	18	51	PA
201	2020-07-19	23	0	3	9	PA
202	2020-07-20	21	9	16	25	PA
203	2020-07-21	24	10	50	106	PA
204	2020-07-22	29	20	63	237	PA
205	2020-07-23	30	293	1075	4362	PA
206	2020-07-24	30	8	52	89	PA
207	2020-07-25	20	13	53	98	PA
208	2020-07-26	32	69	207	609	PA
209	2020-07-27	19	13	37	70	PA
210	2020-07-28	15	6	61	169	PA
211	2020-07-29	35	7	63	60	PA
212	2020-07-30	22	11	45	85	PA
213	2020-07-31	42	10	95	373	PA
214	2020-08-01	24	13	127	100	PA
215	2020-08-02	27	4	4	17	PA
