	date	empleo_volumen	replies	retweets	likes	iso_2
0	2019-12-31	3	1	2	7	PE
1	2020-01-01	11	17	58	115	PE
2	2020-01-02	15	1	1	2	PE
3	2020-01-03	25	2	37	56	PE
4	2020-01-04	16	6	15	51	PE
5	2020-01-05	12	5	2	4	PE
6	2020-01-06	30	1	5	26	PE
7	2020-01-07	29	13	17	130	PE
8	2020-01-08	32	47	333	800	PE
9	2020-01-09	24	7	12	23	PE
10	2020-01-10	20	1	16	22	PE
11	2020-01-11	13	9	5	13	PE
12	2020-01-12	16	6	19	81	PE
13	2020-01-13	16	10	45	104	PE
14	2020-01-14	31	14	29	38	PE
15	2020-01-15	22	3	14	16	PE
16	2020-01-16	25	5	4	28	PE
17	2020-01-17	21	6	19	38	PE
18	2020-01-18	10	6	9	31	PE
19	2020-01-19	14	5	24	51	PE
20	2020-01-20	23	21	86	116	PE
21	2020-01-21	18	4	29	53	PE
22	2020-01-22	22	6	5	10	PE
23	2020-01-23	28	7	14	62	PE
24	2020-01-24	19	1	4	8	PE
25	2020-01-25	12	5	5	29	PE
26	2020-01-26	9	6	14	47	PE
27	2020-01-27	13	234	106	342	PE
28	2020-01-28	26	6	19	54	PE
29	2020-01-29	37	41	185	419	PE
30	2020-01-30	20	7	5	21	PE
31	2020-01-31	16	12	65	145	PE
32	2020-02-01	9	5	22	67	PE
33	2020-02-02	11	16	131	169	PE
34	2020-02-03	18	5	17	51	PE
35	2020-02-04	21	4	10	39	PE
36	2020-02-05	22	25	177	156	PE
37	2020-02-06	22	0	10	12	PE
38	2020-02-07	23	88	30	199	PE
39	2020-02-08	11	28	20	66	PE
40	2020-02-09	14	12	4	17	PE
41	2020-02-10	17	16	5	29	PE
42	2020-02-11	13	6	4	14	PE
43	2020-02-12	13	6	57	185	PE
44	2020-02-13	21	1	26	35	PE
45	2020-02-14	23	311	141	518	PE
46	2020-02-15	16	2	0	17	PE
47	2020-02-16	14	5	2	15	PE
48	2020-02-17	11	5	10	34	PE
49	2020-02-18	17	3	7	13	PE
50	2020-02-19	18	6	8	44	PE
51	2020-02-20	22	2	21	31	PE
52	2020-02-21	20	7	75	146	PE
53	2020-02-22	13	5	3	7	PE
54	2020-02-23	8	7	28	98	PE
55	2020-02-24	20	3	28	47	PE
56	2020-02-25	19	1	17	28	PE
57	2020-02-26	34	99	1237	2987	PE
58	2020-02-27	26	10	50	80	PE
59	2020-02-28	20	13	26	76	PE
60	2020-02-29	16	4	18	55	PE
61	2020-03-01	21	12	18	46	PE
62	2020-03-02	9	1	10	18	PE
63	2020-03-03	16	17	14	44	PE
64	2020-03-04	11	6	74	108	PE
65	2020-03-05	12	1	5	9	PE
66	2020-03-06	28	23	72	281	PE
67	2020-03-07	9	6	12	69	PE
68	2020-03-08	19	10	22	38	PE
69	2020-03-09	13	2	0	7	PE
70	2020-03-10	19	6	15	27	PE
71	2020-03-11	16	4	5	27	PE
72	2020-03-12	10	3	3	8	PE
73	2020-03-13	16	2	3	10	PE
74	2020-03-14	14	2	6	29	PE
75	2020-03-15	27	23	61	290	PE
76	2020-03-16	35	13	19	44	PE
77	2020-03-17	15	10	17	55	PE
78	2020-03-18	44	17	61	99	PE
79	2020-03-19	23	15	35	76	PE
80	2020-03-20	29	16	16	77	PE
81	2020-03-21	14	7	2	13	PE
82	2020-03-22	30	42	110	435	PE
83	2020-03-23	17	11	13	64	PE
84	2020-03-24	21	22	99	123	PE
85	2020-03-25	31	9	14	41	PE
86	2020-03-26	59	50	141	334	PE
87	2020-03-27	36	88	247	383	PE
88	2020-03-28	19	5	12	29	PE
89	2020-03-29	24	15	54	74	PE
90	2020-03-30	82	63	259	240	PE
91	2020-03-31	77	55	143	412	PE
92	2020-04-01	68	30	41	153	PE
93	2020-04-02	51	39	67	215	PE
94	2020-04-03	30	4	21	32	PE
95	2020-04-04	40	54	166	489	PE
96	2020-04-05	45	32	48	148	PE
97	2020-04-06	21	10	34	87	PE
98	2020-04-07	52	68	111	322	PE
99	2020-04-08	58	20	75	174	PE
100	2020-04-09	49	20	35	81	PE
101	2020-04-10	36	37	175	193	PE
102	2020-04-11	42	33	38	137	PE
103	2020-04-12	37	31	69	194	PE
104	2020-04-13	81	90	293	705	PE
105	2020-04-14	67	47	95	222	PE
106	2020-04-15	66	30	56	175	PE
107	2020-04-16	38	16	33	89	PE
108	2020-04-17	37	20	91	146	PE
109	2020-04-18	30	62	306	469	PE
110	2020-04-19	31	11	22	78	PE
111	2020-04-20	52	35	47	101	PE
112	2020-04-21	52	86	545	887	PE
113	2020-04-22	56	37	161	444	PE
114	2020-04-23	56	22	40	154	PE
115	2020-04-24	58	27	89	251	PE
116	2020-04-25	27	13	14	51	PE
117	2020-04-26	24	50	236	565	PE
118	2020-04-27	62	265	283	1987	PE
119	2020-04-28	31	16	117	84	PE
120	2020-04-29	42	206	209	1283	PE
121	2020-04-30	49	18	47	111	PE
122	2020-05-01	45	52	162	437	PE
123	2020-05-02	39	187	77	237	PE
124	2020-05-03	26	41	180	320	PE
125	2020-05-04	31	21	66	184	PE
126	2020-05-05	30	5	13	27	PE
127	2020-05-06	36	32	38	109	PE
128	2020-05-07	45	61	262	642	PE
129	2020-05-08	58	95	483	1108	PE
130	2020-05-09	28	15	59	90	PE
131	2020-05-10	34	80	28	131	PE
132	2020-05-11	28	125	379	515	PE
133	2020-05-12	31	7	10	39	PE
134	2020-05-13	41	21	40	71	PE
135	2020-05-14	36	54	251	370	PE
136	2020-05-15	32	14	127	198	PE
137	2020-05-16	64	142	271	506	PE
138	2020-05-17	31	20	56	116	PE
139	2020-05-18	54	70	393	734	PE
140	2020-05-19	26	20	61	111	PE
141	2020-05-20	40	26	125	243	PE
142	2020-05-21	41	29	71	138	PE
143	2020-05-22	54	237	725	1659	PE
144	2020-05-23	41	21	31	85	PE
145	2020-05-24	41	32	73	327	PE
146	2020-05-25	37	11	13	62	PE
147	2020-05-26	58	32	81	226	PE
148	2020-05-27	36	17	58	111	PE
149	2020-05-28	44	12	57	143	PE
150	2020-05-29	53	75	345	797	PE
151	2020-05-30	31	23	24	58	PE
152	2020-05-31	27	39	57	178	PE
153	2020-06-01	24	16	37	88	PE
154	2020-06-02	56	34	82	450	PE
155	2020-06-03	91	26	52	259	PE
156	2020-06-04	79	87	345	1025	PE
157	2020-06-05	55	35	55	136	PE
158	2020-06-06	35	17	47	126	PE
159	2020-06-07	35	15	10	46	PE
160	2020-06-08	41	203	211	527	PE
161	2020-06-09	52	15	29	62	PE
162	2020-06-10	43	9	142	270	PE
163	2020-06-11	58	118	1236	952	PE
164	2020-06-12	46	68	435	373	PE
165	2020-06-13	49	65	291	543	PE
166	2020-06-14	32	36	115	272	PE
167	2020-06-15	131	91	371	918	PE
168	2020-06-16	126	69	269	508	PE
169	2020-06-17	94	31	137	187	PE
170	2020-06-18	98	52	118	339	PE
171	2020-06-19	57	14	23	63	PE
172	2020-06-20	54	15	28	112	PE
173	2020-06-21	50	17	64	169	PE
174	2020-06-22	79	30	77	216	PE
175	2020-06-23	59	29	167	381	PE
176	2020-06-24	57	19	38	112	PE
177	2020-06-25	75	53	127	326	PE
178	2020-06-26	42	5	13	45	PE
179	2020-06-27	31	9	61	98	PE
