date	empleo_volumen	replies	retweets	likes	iso_2
2019-12-31	1	0	0	0	SV
2020-01-01	3	0	2	2	SV
2020-01-02	2	3	15	30	SV
2020-01-03	1	1	0	1	SV
2020-01-04	4	1	9	2	SV
2020-01-05	6	2	6	8	SV
2020-01-06	5	0	4	0	SV
2020-01-07	6	0	4	8	SV
2020-01-08	9	1	9	15	SV
2020-01-09	9	8	17	36	SV
2020-01-10	7	4	4	17	SV
2020-01-11	5	1	2	2	SV
2020-01-12	6	12	19	43	SV
2020-01-13	5	4	13	31	SV
2020-01-14	14	3	29	53	SV
2020-01-15	8	7	4	11	SV
2020-01-16	6	2	31	124	SV
2020-01-17	20	38	44	53	SV
2020-01-18	14	4	12	22	SV
2020-01-19	9	9	75	96	SV
2020-01-20	23	6	34	169	SV
2020-01-21	19	12	8	41	SV
2020-01-22	6	1	8	23	SV
2020-01-23	7	31	77	259	SV
2020-01-24	8	3	4	16	SV
2020-01-25	12	4	0	2	SV
2020-01-26	4	1	1	2	SV
2020-01-27	7	5	16	56	SV
2020-01-28	13	3	8	30	SV
2020-01-29	1	1	29	21	SV
2020-01-30	4	0	3	19	SV
2020-01-31	4	2	7	20	SV
2020-02-01	1	0	0	0	SV
2020-02-02	4	13	19	124	SV
2020-02-03	4	1	4	53	SV
2020-02-04	4	7	18	79	SV
2020-02-05	8	1	2	5	SV
2020-02-06	10	2	2	21	SV
2020-02-07	3	1	0	2	SV
2020-02-08	6	12	67	162	SV
2020-02-09	7	1	4	7	SV
2020-02-10	8	3	3	3	SV
2020-02-11	9	23	70	520	SV
2020-02-12	11	3	20	28	SV
2020-02-13	5	3	10	22	SV
2020-02-14	7	2	4	7	SV
2020-02-15	3	1	0	6	SV
2020-02-16	4	0	0	5	SV
2020-02-18	11	7	2	10	SV
2020-02-19	6	4	17	68	SV
2020-02-20	10	7	12	75	SV
2020-02-21	4	2	5	42	SV
2020-02-22	6	1	2	5	SV
2020-02-23	6	2	6	15	SV
2020-02-24	5	0	3	9	SV
2020-02-25	6	5	21	36	SV
2020-02-26	2	0	5	4	SV
2020-02-27	2	0	8	22	SV
2020-02-28	1	0	0	0	SV
2020-02-29	2	2	0	0	SV
2020-03-01	1	0	1	0	SV
2020-03-02	6	2	17	55	SV
2020-03-03	3	1	0	1	SV
2020-03-04	6	5	8	45	SV
2020-03-05	8	2	13	17	SV
2020-03-06	2	0	1	2	SV
2020-03-07	6	1	2	8	SV
2020-03-08	4	4	20	97	SV
2020-03-09	1	0	0	0	SV
2020-03-10	2	0	2	5	SV
2020-03-11	3	0	1	15	SV
2020-03-12	2	0	4	7	SV
2020-03-13	2	0	0	1	SV
2020-03-14	11	21	77	319	SV
2020-03-15	4	2	5	26	SV
2020-03-16	10	7	3	18	SV
2020-03-17	12	41	193	270	SV
2020-03-18	14	62	274	1086	SV
2020-03-19	9	2	3	13	SV
2020-03-20	9	254	703	1659	SV
2020-03-21	7	1	5	18	SV
2020-03-22	20	14	11	28	SV
2020-03-23	13	2	0	6	SV
2020-03-24	11	2	1	32	SV
2020-03-25	9	5	11	25	SV
2020-03-26	16	9	12	45	SV
2020-03-27	10	6	1	8	SV
2020-03-28	8	2	8	11	SV
2020-03-29	9	0	5	10	SV
2020-03-30	13	46	22	78	SV
2020-03-31	11	9	11	20	SV
2020-04-01	6	91	119	590	SV
2020-04-02	19	23	135	301	SV
2020-04-03	9	1	0	9	SV
2020-04-04	2	0	0	1	SV
2020-04-05	7	2	1	16	SV
2020-04-06	11	12	122	217	SV
2020-04-07	16	8	67	413	SV
2020-04-08	16	24	56	214	SV
2020-04-09	9	37	90	181	SV
2020-04-10	8	3	9	17	SV
2020-04-11	5	3	0	3	SV
2020-04-12	7	2	1	8	SV
2020-04-13	14	9	31	160	SV
2020-04-14	12	9	22	41	SV
2020-04-15	9	0	0	3	SV
2020-04-16	9	8	20	130	SV
2020-04-17	10	1	2	3	SV
2020-04-18	6	2	0	7	SV
2020-04-19	5	0	3	3	SV
2020-04-20	7	3	4	14	SV
2020-04-21	11	8	12	35	SV
2020-04-22	17	7	25	71	SV
2020-04-23	9	1	11	32	SV
2020-04-24	7	652	267	912	SV
2020-04-25	21	13	54	354	SV
2020-04-26	6	104	50	172	SV
2020-04-27	20	3555	5251	10311	SV
2020-04-28	7	2	1	3	SV
2020-04-29	10	7	21	29	SV
2020-04-30	21	26	50	207	SV
2020-05-01	16	9	5	27	SV
2020-05-02	7	9	31	58	SV
2020-05-03	3	2	3	9	SV
2020-05-04	7	3	3	9	SV
2020-05-05	20	11	61	225	SV
2020-05-06	12	7	65	188	SV
2020-05-07	10	5	22	69	SV
2020-05-08	6	5	53	290	SV
2020-05-09	13	3	1	13	SV
2020-05-10	5	3	19	36	SV
2020-05-11	11	4	9	9	SV
2020-05-12	12	1	2	9	SV
2020-05-13	15	10	13	61	SV
2020-05-14	23	10	18	62	SV
2020-05-15	24	142	347	1260	SV
2020-05-16	30	18	136	283	SV
2020-05-17	21	39	277	1090	SV
2020-05-18	22	162	162	469	SV
2020-05-19	8	2	1	6	SV
2020-05-20	9	12	21	76	SV
2020-05-21	10	5	10	43	SV
2020-05-22	12	4	8	14	SV
2020-05-23	13	5	9	10	SV
2020-05-24	6	4	0	1	SV
2020-05-25	7	2	2	13	SV
2020-05-26	11	5	16	38	SV
2020-05-27	8	24	48	127	SV
2020-05-28	8	2	24	85	SV
2020-05-29	7	1	3	26	SV
2020-05-30	15	6	5	30	SV
2020-05-31	11	241	448	1553	SV
2020-06-01	5	2	1	2	SV
2020-06-02	7	42	82	244	SV
2020-06-03	7	6	17	24	SV
2020-06-04	13	4	45	130	SV
2020-06-05	21	6	33	76	SV
2020-06-06	16	10	12	98	SV
2020-06-07	11	300	149	802	SV
2020-06-08	14	4	14	40	SV
2020-06-09	10	42	27	77	SV
2020-06-10	7	4	34	55	SV
2020-06-11	3	11	21	83	SV
2020-06-12	6	1	26	41	SV
2020-06-13	8	2	0	2	SV
2020-06-14	9	4	7	30	SV
2020-06-15	10	1	25	41	SV
2020-06-16	8	3	4	32	SV
2020-06-17	7	1	3	4	SV
2020-06-18	10	3	8	23	SV
2020-06-19	10	0	8	24	SV
2020-06-20	5	0	0	3	SV
2020-06-21	12	4	7	16	SV
2020-06-22	11	1	9	21	SV
2020-06-23	7	5	3	6	SV
2020-06-24	11	5	7	26	SV
